triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('The Yser Testament', 'OCCURS_ON', '11/07/1917');False;;False;
('Clifton Hurburgh', 'BORN_ON', '15/01/1917');True;[('Clifton Hurburgh', 'BORN_ON', '15/01/1917')];True;[('Clifton Hurburgh', 'BORN_ON', '15/01/1917')]
('Clifton Hurburgh', 'DIED_ON', '30/07/2011');True;[('Clifton Hurburgh', 'DIED_ON', '30/07/2011')];True;[('Clifton Hurburgh', 'DIED_ON', '30/07/2011')]
('Clifton Hurburgh', 'HAS_NATIONALITY', 'Australian');True;[('Clifton Hurburgh', 'HAS_NATIONALITY', 'Australian')];True;[('Clifton Hurburgh', 'HAS_NATIONALITY', 'Australian'), ('Clifton Hurburgh', 'country of citizenship', 'Australia'), ('Clifton Hurburgh', 'description', 'Australian cricketer (1917-2011)')]
('Clifton Hurburgh', 'BORN_IN', 'Hobart');True;[('Clifton Hurburgh', 'BORN_IN', 'Hobart')];True;[('Clifton Hurburgh', 'BORN_IN', 'Hobart'), ('Clifton Hurburgh', 'place of birth', 'Hobart')]
('Wired for Sound', 'RECORDED_BY', 'Cliff Richard');False;;True;"[('Wired for Sound', 'PERFORMED_BY', 'Cliff Richard'), ('Wired for Sound', 'performer', 'Cliff Richard'), ('Wired for Sound', 'PERFORMED_BY', 'Cliff Richard'), ('Wired for Sound', 'performer', 'Cliff Richard'), ('Wired for Sound', 'PART_OF', ""Cliff Richard's albums in chronological order""), ('Wired for Sound', 'part of', ""Cliff Richard's albums in chronological order""), ('Wired for Sound', 'description', 'album by Cliff Richard')]"
('Wired for Sound', 'WRITTEN_BY', 'Alan Tarney');False;;False;
('Wired for Sound', 'WRITTEN_BY', 'B.A. Robertson');False;;False;
('Wired for Sound', 'FEATURED_IN', 'Wired for Sound');False;;True;[('Wired for Sound', 'PART_OF', 'Wired for Sound'), ('Wired for Sound', 'part of', 'Wired for Sound'), ('Wired for Sound', 'label', 'Wired for Sound'), ('Wired for Sound', 'PART_OF', 'Wired for Sound'), ('Wired for Sound', 'part of', 'Wired for Sound'), ('Wired for Sound', 'label', 'Wired for Sound')]
('Wired for Sound', 'RELEASED_BY', 'EMI Records');True;[('Wired for Sound', 'RELEASED_BY', 'EMI Records'), ('Wired for Sound', 'RELEASED_BY', 'EMI'), ('Wired for Sound', 'RELEASED_BY', 'EMI Records')];True;[('Wired for Sound', 'RELEASED_BY', 'EMI Records'), ('Wired for Sound', 'record label', 'EMI Records'), ('Wired for Sound', 'RELEASED_BY', 'EMI'), ('Wired for Sound', 'record label', 'EMI'), ('Wired for Sound', 'RELEASED_BY', 'Blast First'), ('Wired for Sound', 'RELEASED_BY', 'EMI Records'), ('Wired for Sound', 'record label', 'EMI Records')]
('Wired for Sound Music Video', 'LOCATED_IN', 'Milton Keynes Shopping Centre');False;;False;
('Pinckney Corners Cemetery', 'LISTED_ON', 'Pinckney Corners Cemetery');False;;True;[('Pinckney Corners Cemetery', 'instance of', 'cemetery'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'located in the administrative territorial entity', 'Pinckney'), ('Pinckney Corners Cemetery', 'LISTED_ON', 'National Register of Historic Places listed place'), ('Pinckney Corners Cemetery', 'label', 'Pinckney Corners Cemetery')]
('Pinckney Corners Cemetery', 'ESTABLISHED_IN', '1810');False;;False;
('Pinckney Corners Cemetery', 'LOCATED_IN', 'Lewis County');False;;True;[('Pinckney Corners Cemetery', 'LOCATED_IN', 'United States'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney')]
('Florence White', 'MEMBER_OF', 'Society of Lady Artists');False;;False;
('Florence White', 'CREATED', 'White Treasures');False;;True;[('Florence White', 'HAS_SURNAME', 'White'), ('Florence White', 'family name', 'White'), ('Florence White', 'HAS_SURNAME', 'White'), ('Florence White', 'family name', 'White')]
('Florence White', 'EXHIBITED_IN', 'The Exhibition of the Royal Academy of Arts');False;;True;[('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts'), ('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts')]
('Florence White', 'DIED_ON', '1932');True;[('Florence White', 'DIED_ON', '1932')];True;[('Florence White', 'DIED_ON', '1932'), ('Florence White', 'date of death', '1932'), ('Florence White', 'work period (end)', '1932'), ('Florence White', 'DIED_ON', '1968'), ('Florence White', 'work period (end)', '1932')]
('Jake Fenlason', 'BORN_ON', '02/02/1993');True;[('Jake Fenlason', 'BORN_ON', '02/02/1993')];True;[('Jake Fenlason', 'BORN_ON', '02/02/1993')]
('Jake Fenlason', 'HAS_NATIONALITY', 'American');True;[('Jake Fenlason', 'HAS_NATIONALITY', 'American')];True;[('Jake Fenlason', 'HAS_NATIONALITY', 'American'), ('Jake Fenlason', 'description', 'American soccer player')]
('Jake Fenlason', 'PART_OF', 'Akron Zips');False;;True;"[('Jake Fenlason', 'PLAYS_FOR', ""Akron Zips men's soccer""), ('Jake Fenlason', 'member of sports team', ""Akron Zips men's soccer"")]"
('Jake Fenlason', 'PART_OF', 'Orlando City B');False;;False;
('Jake Fenlason', 'PART_OF', 'Saint Louis FC');False;;True;[('Jake Fenlason', 'PLAYS_FOR', 'Saint Louis FC'), ('Jake Fenlason', 'member of sports team', 'Saint Louis FC')]
('Jake Fenlason', 'PART_OF', 'San Diego Loyal SC');False;;True;[('Jake Fenlason', 'BORN_IN', 'San Diego'), ('Jake Fenlason', 'place of birth', 'San Diego'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'member of sports team', 'San Diego Loyal SC')]
('Jake Fenlason', 'RESIDES_IN', 'San Diego');False;;True;[('Jake Fenlason', 'BORN_IN', 'San Diego'), ('Jake Fenlason', 'place of birth', 'San Diego'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'member of sports team', 'San Diego Loyal SC')]
('Jonathan Rosand', 'HAS_OCCUPATION', 'Jonathan Rosand');False;;True;[('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand')]
('Jonathan Rosand', 'HAS_OCCUPATION', 'Jonathan Rosand');False;;True;[('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand')]
('Jonathan Rosand', 'HAS_OCCUPATION', 'Jonathan Rosand');False;;True;[('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand')]
('Jonathan Rosand', 'WORKS_FOR', 'Harvard Medical School');False;;False;
('Jonathan Rosand', 'WORKS_FOR', 'Massachusetts General Hospital');False;;False;
('Jonathan Rosand', 'MEMBER_OF', 'Broad Institute of MIT and Harvard');False;;False;
('Jonathan Rosand', 'FOUNDED', 'International Stroke Genetics Consortium');False;;False;
('Major General William Norman Herbert', 'BORN_ON', '26/08/1880');True;[('William Norman Herbert', 'BORN_ON', '1880')];True;[('William Norman Herbert', 'BORN_ON', '1880'), ('William Norman Herbert', 'date of birth', '1880')]
('Major General William Norman Herbert', 'DIED_ON', '26/04/1949');True;[('William Norman Herbert', 'DIED_ON', '1949')];True;[('William Norman Herbert', 'DIED_ON', '1949'), ('William Norman Herbert', 'date of death', '1949')]
('Major General William Norman Herbert', 'BORN_IN', 'Warwickshire');False;;True;[('William Norman Herbert', 'BORN_IN', 'Fillongley')]
('Major General William Norman Herbert', 'PARTICIPATED_IN', 'Second World War');False;;True;[('William Norman Herbert', 'conflict', 'Second World War')]
('Major General William Norman Herbert', 'PART_OF', 'Northumberland Fusiliers');False;;False;
('39th Japan Academy Film Prize', 'OCCURRED_IN', 'Tokyo');False;;False;
('39th Japan Academy Film Prize', 'OCCURS_ON', '04/03/2016');True;[('39th Japan Academy Prize', 'OCCURS_ON', '04/03/2016')];True;[('39th Japan Academy Prize', 'OCCURS_ON', '04/03/2016'), ('Japan Academy Film Prize', 'OCCURS_ON', '1978')]
('Japan Academy Film Prize', 'AWARDED_AT', '39th Japan Academy Film Prize');False;;True;"[('39th Japan Academy Prize', 'edition number', '39'), ('39th Japan Academy Prize', 'facet of', 'Japan Academy Film Prize'), ('39th Japan Academy Prize', 'LOCATED_IN', 'Japan'), ('39th Japan Academy Prize', 'country', 'Japan'), ('39th Japan Academy Prize', 'follows', '38th Japan Academy Prize'), ('39th Japan Academy Prize', 'followed by', '40th Japan Academy Prize'), ('39th Japan Academy Prize', 'part of the series', 'Japan Academy Film Prize'), ('39th Japan Academy Prize', 'label', '39th Japan Academy Prize'), ('Japan Academy Film Prize', 'LOCATED_IN', 'Japan'), ('Japan Academy Film Prize', 'country', 'Japan'), ('Japan Academy Film Prize', 'label', 'Japan Academy Film Prize'), ('Japan Academy Film Prize', 'alternative label', 'Japan Academy Prize'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Outstanding Foreign Language Film'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Best Film Editing'), ('Japan Academy Film Prize', ""topic's main category"", 'Category:Japan Academy Film Prize'), ('Japan Academy Film Prize', 'conferred by', 'Japan Academy Film Prize Association'), ('Japan Academy Film Prize', ""topic's main template"", 'Template:Japan Academy Film Prize')]"
('Pukhov', 'HAS_COUNTERPART', 'Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'Commons category', 'Pukhov (surname)'), ('Pukhov', 'label', 'Pukhov')]
('Monte-Carlo Pavilions', 'HAS_STYLE', 'Googie architecture');False;;False;
('Monte-Carlo Pavilions', 'DISBANDED_IN', '2018');False;;False;
('Asoke Chandra Chatterjee', 'BORN_ON', '28/02/1920');True;[('Asoke Chatterjee', 'BORN_ON', '28/02/1920')];True;[('Asoke Chatterjee', 'BORN_ON', '28/02/1920')]
('Asoke Chandra Chatterjee', 'HAS_NATIONALITY', 'Indian');True;[('Asoke Chatterjee', 'HAS_NATIONALITY', 'Indian')];True;[('Asoke Chatterjee', 'description', 'Indian cricketer'), ('Asoke Chatterjee', 'HAS_NATIONALITY', 'Indian'), ('Asoke Chatterjee', 'country of citizenship', 'India'), ('Asoke Chatterjee', 'HAS_NATIONALITY', 'British Raj'), ('Asoke Chatterjee', 'HAS_NATIONALITY', 'Dominion of India')]
('Asoke Chandra Chatterjee', 'BORN_IN', 'Kolkata');True;[('Asoke Chatterjee', 'BORN_IN', 'Kolkata')];True;[('Asoke Chatterjee', 'BORN_IN', 'Kolkata'), ('Asoke Chatterjee', 'place of birth', 'Kolkata')]
('High Liner Foods Inc.', 'LISTED_ON', 'Toronto Stock Exchange');False;;False;
('High Liner Foods Inc.', 'OPERATES_IN', 'Canada');False;;True;[('High Liner Foods', 'LOCATED_IN', 'Canada'), ('High Liner Foods', 'country', 'Canada')]
('High Liner Foods Inc.', 'OPERATES_IN', 'United States');False;;False;
('High Liner Foods Inc.', 'OPERATES_IN', 'Mexico');False;;False;
('Pau Torres Riba', 'BORN_ON', '04/06/1987');True;[('Pau Torres Riba', 'BORN_ON', '04/06/1987'), ('Pau Torres Riba', 'BORN_ON', '04/06/1987')];True;[('Pau Torres Riba', 'BORN_ON', '04/06/1987'), ('Pau Torres Riba', 'BORN_ON', '04/06/1987')]
('Pau Torres Riba', 'HAS_NATIONALITY', 'Spanish');True;[('Pau Torres Riba', 'HAS_NATIONALITY', 'Spanish'), ('Pau Torres Riba', 'HAS_NATIONALITY', 'Spanish')];True;[('Pau Torres Riba', 'languages spoken, written or signed', 'Spanish'), ('Pau Torres Riba', 'HAS_NATIONALITY', 'Spanish'), ('Pau Torres Riba', 'description', 'Spanish association football player'), ('Pau Torres Riba', 'HAS_NATIONALITY', 'Spanish'), ('Pau Torres Riba', 'languages spoken, written or signed', 'Spanish'), ('Pau Torres Riba', 'description', 'Spanish association football player')]
('Pau Torres Riba', 'PLAYS_FOR', 'CE Europa');False;;True;[('Pau Torres Riba', 'PLAYS_FOR', 'Deportivo Alavés'), ('Pau Torres Riba', 'PLAYS_FOR', 'AD Ceuta'), ('Pau Torres Riba', 'PLAYS_FOR', 'Terrassa FC'), ('Pau Torres Riba', 'PLAYS_FOR', 'Cartagena FC'), ('Pau Torres Riba', 'PLAYS_FOR', 'UE Sant Andreu'), ('Pau Torres Riba', 'PLAYS_FOR', 'CD San Roque de Lepe'), ('Pau Torres Riba', 'PLAYS_FOR', 'Club Lleida Esportiu'), ('Pau Torres Riba', 'PLAYS_FOR', 'FC Barcelona C'), ('Pau Torres Riba', 'PLAYS_FOR', 'Real Valladolid'), ('Pau Torres Riba', 'PLAYS_FOR', 'FC Barcelona Atlètic'), ('Pau Torres Riba', 'PLAYS_FOR', 'Real Valladolid'), ('Pau Torres Riba', 'PLAYS_FOR', 'FC Barcelona Atlètic'), ('Pau Torres Riba', 'PLAYS_FOR', 'Deportivo Alavés'), ('Pau Torres Riba', 'PLAYS_FOR', 'AD Ceuta'), ('Pau Torres Riba', 'PLAYS_FOR', 'Terrassa FC'), ('Pau Torres Riba', 'PLAYS_FOR', 'Cartagena FC'), ('Pau Torres Riba', 'PLAYS_FOR', 'UE Sant Andreu'), ('Pau Torres Riba', 'PLAYS_FOR', 'CD San Roque de Lepe'), ('Pau Torres Riba', 'PLAYS_FOR', 'Club Lleida Esportiu'), ('Pau Torres Riba', 'PLAYS_FOR', 'FC Barcelona C')]
('Assim Jamal', 'HAS_NATIONALITY', 'Indian');True;[('Assim Jamal', 'HAS_NATIONALITY', 'Indian')];True;[('Assim Jamal', 'HAS_NATIONALITY', 'Indian'), ('Assim Jamal', 'country of citizenship', 'India')]
('Assim Jamal', 'BORN_IN', 'Thrissur');True;[('Assim Jamal', 'BORN_IN', 'Thrissur')];True;[('Assim Jamal', 'BORN_IN', 'Thrissur'), ('Assim Jamal', 'place of birth', 'Thrissur')]
('Assim Jamal', 'HAS_OCCUPATION', 'Actor');True;[('Assim Jamal', 'HAS_OCCUPATION', 'actor'), ('Assim Jamal', 'occupation', 'actor')];True;[('Assim Jamal', 'HAS_OCCUPATION', 'actor'), ('Assim Jamal', 'occupation', 'actor'), ('Assim Jamal', 'description', 'actor')]
('Football Club Oswestry Town', 'LOCATED_IN', 'Oswestry');False;;True;"[('Oswestry', 'LOCATED_IN', 'United Kingdom'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'contains settlement', 'Oswestry'), ('Oswestry', 'different from', 'Oswestry Rural'), ('Oswestry', 'different from', 'Municipal Borough of Oswestry'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'Commons category', 'Oswestry'), ('Oswestry', 'HAS_WEBSITE', 'http://www.oswestry-tc.gov.uk/'), ('Oswestry', 'official website', 'http://www.oswestry-tc.gov.uk/'), ('Oswestry', 'different from', 'Oswestry Civil Parish'), ('Oswestry', 'LOCATED_IN', 'UTC±00:00'), ('Oswestry', 'label', 'Oswestry'), ('Oswestry', 'alternative label', 'Oswestry Rural'), ('Oswestry', 'alternative label', 'Oswestry RD'), ('Oswestry', 'alternative label', 'Oswestry Rural District'), ('Oswestry', 'alternative label', 'Borough of Oswestry'), ('Oswestry', 'alternative label', 'Oswestry Borough (1974-2009)'), ('Oswestry', 'alternative label', 'Oswestry, Shropshire'), ('Oswestry', 'authority', 'Oswestry Town Council'), ('Oswestry', ""topic's main category"", 'Category:Oswestry'), ('Oswestry', 'category of associated people', 'Category:People from Oswestry'), ('Oswestry', 'official name', 'Oswestry '), ('Oswestry', 'native label', 'Oswestry ')]"
('Oswestry', 'PART_OF', 'Shropshire');False;;True;[('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'located in the administrative territorial entity', 'Shropshire'), ('Oswestry', 'replaced by', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'located in the present-day administrative territorial entity', 'Shropshire'), ('Oswestry', 'historic county', 'Shropshire'), ('Oswestry', 'description', 'former local government area in Shropshire, England'), ('Oswestry', 'description', 'town in Shropshire, England'), ('Oswestry', 'alternative label', 'Oswestry, Shropshire')]
('Football Club Oswestry Town', 'ESTABLISHED_IN', '2013');False;;True;[('Oswestry', 'number of seats in assembly', '1')]
('Football Club Oswestry Town', 'DISBANDED_IN', '2020');False;;False;
('Rotel Tours', 'PART_OF', 'Georg Höltl GmBH & Co. KK');False;;False;
('Rotel Tours', 'LOCATED_IN', 'Tittling');False;;True;[('Rotel Tours', 'LOCATED_IN', 'Germany')]
('Tittling', 'LOCATED_IN', 'Bavaria');False;;True;[('Tittling', 'LOCATED_IN', 'UTC+01:00'), ('Tittling', 'LOCATED_IN', 'UTC+02:00'), ('Tittling', 'LOCATED_IN', 'Germany'), ('Tittling', 'LOCATED_IN', 'Passau'), ('Tittling', 'LOCATED_IN', 'Passau'), ('Tittling', 'LOCATED_IN', 'Tittling'), ('Tittling', 'LOCATED_IN', 'Tittling')]
('Bavaria', 'LOCATED_IN', 'Germany');True;[('Bavaria', 'LOCATED_IN', 'Germany'), ('Bavaria', 'LOCATED_IN', 'Germany'), ('Bavaria', 'LOCATED_IN', 'Germany')];True;[('Bavaria', 'LOCATED_IN', 'Germany'), ('Bavaria', 'country', 'Germany'), ('Bavaria', 'LOCATED_IN', 'Europe'), ('Bavaria', 'instance of', 'federated state of Germany'), ('Bavaria', 'LOCATED_IN', 'Germany'), ('Bavaria', 'LOCATED_IN', 'Germany'), ('Bavaria', 'located in the administrative territorial entity', 'Germany')]
('Rotel Tours', 'OFFERS_TOURS_ON', '6 continents');False;;False;
