triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('Wired For Sound', 'RECORDED_BY', 'Cliff Richard');True;[('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound', 'RECORDED_BY', 'Cliff Richard')];True;[('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'cover', 'Wired for Sound Cliff Richard single sleeve.jpg'), ('Wired for Sound (song)', 'subject', 'Cliff Richard songs'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'Cliff Richard songs'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'Cliff Richard'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'A Little in Love (Cliff Richard song)'), ('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'prevTitle', 'A Little in Love (Cliff Richard song)'), ('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'previousWork', 'A Little in Love (Cliff Richard song)'), ('Wired for Sound', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound', 'artist', 'Cliff Richard'), ('Wired for Sound', 'subject', 'Cliff Richard albums'), ('Wired for Sound', 'wikiPageWikiLink', 'Cliff Richard albums'), ('Wired for Sound', 'wikiPageWikiLink', 'Cliff Richard'), ('Wired for Sound', 'wikiPageWikiLink', 'Love Songs (Cliff Richard album)'), ('Wired for Sound', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound', 'artist', 'Cliff Richard'), ('Wired for Sound', 'prevTitle', 'Love Songs (Cliff Richard album)')]
('Wired For Sound', 'LEAD_SINGLE_FOR_ALBUM', 'Cliff Richard');False;;True;[('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'cover', 'Wired for Sound Cliff Richard single sleeve.jpg'), ('Wired for Sound (song)', 'subject', 'Cliff Richard songs'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'Cliff Richard songs'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'Cliff Richard'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'A Little in Love (Cliff Richard song)'), ('Wired for Sound (song)', 'album', 'Wired for Sound'), ('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'prevTitle', 'A Little in Love (Cliff Richard song)'), ('Wired for Sound (song)', 'album', 'Wired for Sound'), ('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'previousWork', 'A Little in Love (Cliff Richard song)'), ('Wired for Sound', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound', 'artist', 'Cliff Richard'), ('Wired for Sound', 'subject', 'Cliff Richard albums'), ('Wired for Sound', 'wikiPageWikiLink', 'Cliff Richard albums'), ('Wired for Sound', 'wikiPageWikiLink', 'Cliff Richard'), ('Wired for Sound', 'wikiPageWikiLink', 'Love Songs (Cliff Richard album)'), ('Wired for Sound', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound', 'artist', 'Cliff Richard'), ('Wired for Sound', 'prevTitle', 'Love Songs (Cliff Richard album)')]
('Wired For Sound', 'REACHED_POSITION', 'Uk Singles Chart');False;;True;[('Wired for Sound (song)', 'type', 'single'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'UK Singles Chart'), ('Wired for Sound', 'wikiPageWikiLink', 'UK singles chart')]
('Wired For Sound', 'CERTIFIED_BY', 'Bpi');False;;False;
('Wired For Sound', 'REACHED_POSITION', 'Australia');False;;True;[('Wired for Sound', 'wikiPageWikiLink', 'US')]
('Wired For Sound', 'REACHED_POSITION', 'South Africa');False;;False;
('Wired For Sound', 'WRITTEN_BY', 'Alan Tarney');True;[('Wired for Sound (song)', 'WRITTEN_BY', 'Alan Tarney'), ('Wired for Sound (song)', 'WRITTEN_BY', 'Alan Tarney')];True;[('Wired for Sound (song)', 'PRODUCED_BY', 'Alan Tarney'), ('Wired for Sound (song)', 'producer', 'Alan Tarney'), ('Wired for Sound (song)', 'subject', 'Song recordings produced by Alan Tarney'), ('Wired for Sound (song)', 'subject', 'Songs written by Alan Tarney'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'Alan Tarney'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'Song recordings produced by Alan Tarney'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'Songs written by Alan Tarney'), ('Wired for Sound (song)', 'WRITTEN_BY', 'Alan Tarney'), ('Wired for Sound (song)', 'writer', 'Alan Tarney'), ('Wired for Sound (song)', 'WRITTEN_BY', 'B.A. Robertson'), ('Wired for Sound (song)', 'PRODUCED_BY', 'Alan Tarney'), ('Wired for Sound (song)', 'producer', 'Alan Tarney'), ('Wired for Sound (song)', 'WRITTEN_BY', 'Alan Tarney'), ('Wired for Sound (song)', 'writer', 'Alan Tarney'), ('Wired for Sound (song)', 'WRITTEN_BY', 'B.A. Robertson'), ('Wired for Sound', 'subject', 'Albums produced by Alan Tarney'), ('Wired for Sound', 'wikiPageWikiLink', 'Alan Tarney'), ('Wired for Sound', 'wikiPageWikiLink', 'Albums produced by Alan Tarney')]
('Wired For Sound', 'WRITTEN_BY', 'B.A. Robertson');True;[('Wired for Sound (song)', 'WRITTEN_BY', 'B.A. Robertson'), ('Wired for Sound (song)', 'WRITTEN_BY', 'B.A. Robertson')];True;[('Wired for Sound (song)', 'wikiPageWikiLink', 'B.A. Robertson'), ('Wired for Sound (song)', 'WRITTEN_BY', 'Alan Tarney'), ('Wired for Sound (song)', 'WRITTEN_BY', 'B.A. Robertson'), ('Wired for Sound (song)', 'writer', 'B.A. Robertson'), ('Wired for Sound (song)', 'WRITTEN_BY', 'Alan Tarney'), ('Wired for Sound (song)', 'WRITTEN_BY', 'B.A. Robertson'), ('Wired for Sound (song)', 'writer', 'B.A. Robertson')]
('Wired For Sound', 'MUSIC_VIDEO_FILMED_AT', 'Milton Keynes Shopping Centre');False;;True;[('Wired for Sound (song)', 'wikiPageWikiLink', 'Milton Keynes Shopping Centre'), ('Wired for Sound', 'wikiPageWikiLink', 'Milton Keynes')]
('Wired For Sound', 'RELEASED_BY', 'Emi Records');True;[('Wired for Sound (song)', 'RELEASED_BY', 'EMI Records')];True;[('Wired for Sound (song)', 'subject', 'EMI Records singles'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'EMI Records singles'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'EMI Records'), ('Wired for Sound (song)', 'label', 'EMI Records'), ('Wired for Sound (song)', 'RELEASED_BY', 'EMI Records'), ('Wired for Sound (song)', 'recordLabel', 'EMI Records'), ('Wired for Sound', 'subject', 'EMI Records albums'), ('Wired for Sound', 'wikiPageWikiLink', 'EMI Records albums'), ('Wired for Sound', 'wikiPageWikiLink', 'EMI Records'), ('Wired for Sound', 'label', 'EMI Records')]
('Pinckney Corners Cemetery', 'BURIAL', 'Revolutionary War');False;;True;[('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'American Revolutionary War')]
('Pinckney Corners Cemetery', 'BURIAL', 'War Of 1812');False;;True;[('Pinckney Corners Cemetery', 'OCCURRED_IN', '1812')]
('Oswaldo Payá', 'HEAD_OF', 'Christian Liberation Movement');False;;True;[('Oswaldo Payá', 'wikiPageWikiLink', 'Christian Liberation Movement'), ('Oswaldo Payá', 'organization', 'Christian Liberation Movement')]
('Rosa María Payá Acevedo', 'ACTIVIST_WORK_CONTINUATION', 'Oswaldo Payá');False;;True;[('María Payá Acevedo', 'wikiPageWikiLink', 'Oswaldo Payá'), ('María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá'), ('María Payá Acevedo', 'father', 'Oswaldo Payá')]
('Yser Testament', 'RELATED_TO', 'Belgian Army');False;;True;[('Yser Testament', 'wikiPageWikiLink', 'http://dbpedia.org/resource/Belgian Army')]
('Yser Testament', 'PROVOKED_REACTION_FROM', 'High Command');False;;False;
('Yser Testament', 'DEFENDED_ACTIONS_OF', 'German Authorities');False;;False;
('Yser Testament', 'RELATED_TO', 'Flamenpolitik');False;;True;[('Yser Testament', 'wikiPageWikiLink', 'Flamenpolitik')]
('Wired For Sound', 'LEAD_SINGLE', 'Wired For Sound');False;;True;[('Wired for Sound (song)', 'label', 'Wired for Sound (song)'), ('Wired for Sound (song)', 'name', 'Wired for Sound'), ('Wired for Sound (song)', 'name', 'Wired for Sound'), ('Wired for Sound (song)', 'cover', 'Wired for Sound Cliff Richard single sleeve.jpg'), ('Wired for Sound (song)', 'title', 'Wired for Sound'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'Wired for Sound'), ('Wired for Sound (song)', 'sameAs', 'Wired for Sound'), ('Wired for Sound (song)', 'sameAs', 'Wired for Sound (song)'), ('Wired for Sound (song)', 'album', 'Wired for Sound'), ('Wired for Sound (song)', 'wasDerivedFrom', 'Wired for Sound (song)?oldid=1097280639&ns=0'), ('Wired for Sound (song)', 'album', 'Wired for Sound'), ('Wired for Sound (song)', 'isPrimaryTopicOf', 'Wired for Sound (song)'), ('Wired for Sound', 'label', 'Wired for Sound'), ('Wired for Sound', 'name', 'Wired for Sound'), ('Wired for Sound', 'cover', 'Wired for Sound.jpg'), ('Wired for Sound', 'title', 'Wired for Sound'), ('Wired for Sound', 'wikiPageWikiLink', 'Wired for Sound (song)'), ('Wired for Sound', 'sameAs', 'Wired for Sound'), ('Wired for Sound', 'sameAs', 'Wired for Sound'), ('Wired for Sound', 'sameAs', 'Wired for Sound'), ('Wired for Sound', 'wasDerivedFrom', 'Wired for Sound?oldid=1113283949&ns=0'), ('Wired for Sound', 'isPrimaryTopicOf', 'Wired for Sound')]
('Wired For Sound', 'CERTIFIED', 'Bpi');False;;False;
('Pinckney Corners Cemetery', 'LISTED_IN', 'National Register Of Historic Places');False;;True;[('Pinckney Corners Cemetery', 'type', 'place'), ('Pinckney Corners Cemetery', 'type', 'Place'), ('Pinckney Corners Cemetery', 'type', 'historic place'), ('Pinckney Corners Cemetery', 'subject', 'National Register of Historic Places in Lewis County, New York'), ('Pinckney Corners Cemetery', 'subject', 'Cemeteries on the National Register of Historic Places in New York (state)'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'National Register of Historic Places in Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'Cemeteries on the National Register of Historic Places in New York (state)'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'National Register of Historic Places')]
('Pinckney Corners Cemetery', 'BURIAL_SITE_FOR', 'Revolutionary War');False;;True;[('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'American Revolutionary War')]
('Pinckney Corners Cemetery', 'BURIAL_SITE_FOR', 'War Of 1812');False;;True;[('Pinckney Corners Cemetery', 'OCCURRED_IN', '1812')]
('Florence White', 'CREATED', 'White Treasures');False;;True;[('Florence White (painter)', 'wikiPageWikiLink', 'http://dbpedia.org/resource/File:Florence White - White Treasures.jpg')]
('White Treasures', 'INCLUDED_IN', 'Women Painters Of The World');False;;False;
('Florence White', 'MEMBER_OF', 'Society Of Lady Artists');False;;True;[('Florence White (painter)', 'wikiPageWikiLink', 'Society of Lady Artists')]
('Florence White', 'PARTICIPATED_IN', 'The Exhibition Of The Royal Academy Of Arts 1900');False;;True;[('Florence White (painter)', 'wikiPageWikiLink', 'http://dbpedia.org/resource/Royal Academy of Arts')]
('Florence White', 'PARTICIPATED_IN', 'The Exhibition Of The Royal Academy Of Arts 1911');False;;True;[('Florence White (painter)', 'wikiPageWikiLink', 'http://dbpedia.org/resource/Royal Academy of Arts')]
('Florence White', 'CREATED', 'Portrait Of Mrs. Bowater Vernon');False;;False;
('Jake Fenlason', 'MEMBER_OF', 'Akron Zips');False;;True;"[('Jake Fenlason', 'subject', ""Akron Zips men's soccer players""), ('Jake Fenlason', 'wikiPageWikiLink', ""Akron Zips men's soccer""), ('Jake Fenlason', 'wikiPageWikiLink', ""Akron Zips men's soccer players""), ('Jake Fenlason', 'EDUCATED_AT', ""Akron Zips men's soccer""), ('Jake Fenlason', 'college', ""Akron Zips men's soccer"")]"
('Jake Fenlason', 'MEMBER_OF', 'Orlando City B');False;;True;[('Jake Fenlason', 'subject', 'Orlando City B players'), ('Jake Fenlason', 'wikiPageWikiLink', 'Orlando City B players'), ('Jake Fenlason', 'wikiPageWikiLink', 'Orlando City B'), ('Jake Fenlason', 'PLAYS_FOR', 'Orlando City B'), ('Jake Fenlason', 'clubs', 'Orlando City B'), ('Jake Fenlason', 'PLAYS_FOR', 'Orlando City B'), ('Jake Fenlason', 'team', 'Orlando City B')]
('Jake Fenlason', 'MEMBER_OF', 'Saint Louis Fc');False;;True;[('Jake Fenlason', 'subject', 'Saint Louis FC players'), ('Jake Fenlason', 'wikiPageWikiLink', 'Saint Louis FC'), ('Jake Fenlason', 'wikiPageWikiLink', 'Saint Louis FC players'), ('Jake Fenlason', 'PLAYS_FOR', 'Saint Louis FC'), ('Jake Fenlason', 'clubs', 'Saint Louis FC'), ('Jake Fenlason', 'PLAYS_FOR', 'Saint Louis FC'), ('Jake Fenlason', 'team', 'Saint Louis FC')]
('Jake Fenlason', 'MEMBER_OF', 'San Diego Loyal Sc');False;;True;[('Jake Fenlason', 'subject', 'San Diego Loyal SC players'), ('Jake Fenlason', 'wikiPageWikiLink', 'San Diego Loyal SC'), ('Jake Fenlason', 'wikiPageWikiLink', 'San Diego Loyal SC players'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'clubs', 'San Diego Loyal SC'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'team', 'San Diego Loyal SC')]
('Jake Fenlason', 'PARTICIPATED_IN', 'Usl Championship');False;;True;[('Jake Fenlason', 'subject', 'USL Championship players'), ('Jake Fenlason', 'wikiPageWikiLink', 'USL Championship players')]
('Jake Fenlason', 'BIRTHPLACE', 'San Diego');True;[('Jake Fenlason', 'birthPlace', 'San Diego, California, United States'), ('Jake Fenlason', 'birthPlace', 'San Diego, California')];True;[('Jake Fenlason', 'BORN_IN', 'San Diego, California, United States'), ('Jake Fenlason', 'birthPlace', 'San Diego, California, United States'), ('Jake Fenlason', 'BORN_IN', 'San Diego, California'), ('Jake Fenlason', 'birthPlace', 'San Diego, California'), ('Jake Fenlason', 'subject', 'San Diego Loyal SC players'), ('Jake Fenlason', 'subject', 'Soccer players from San Diego'), ('Jake Fenlason', 'wikiPageWikiLink', 'San Diego, California'), ('Jake Fenlason', 'wikiPageWikiLink', 'San Diego Loyal SC'), ('Jake Fenlason', 'wikiPageWikiLink', 'San Diego Loyal SC players'), ('Jake Fenlason', 'wikiPageWikiLink', 'Soccer players from San Diego'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'clubs', 'San Diego Loyal SC'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'team', 'San Diego Loyal SC')]
('Jonathan Rosand', 'PROFESSOR', 'Harvard Medical School');False;;True;[('Jonathan Rosand', 'comment', 'Harvard Medical School Fellowship Training Programs in both Neurocritical Care and Vascular Neurology. He is the founder of the International Stroke Genetics Consortium and served as '), ('Jonathan Rosand', 'abstract', 'Harvard Medical School Fellowship Training Programs in both Neurocritical Care and Vascular Neurology. He is the founder of the International Stroke Genetics Consortium and served as its inaugural steering committee chair.'), ('Jonathan Rosand', 'subject', 'Harvard Medical School faculty'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Harvard Medical School faculty'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Harvard Medical School'), ('Jonathan Rosand', 'WORKS_AT', 'Harvard Medical School'), ('Jonathan Rosand', 'workInstitutions', 'Harvard Medical School')]
('Jonathan Rosand', 'CHIEF', 'Massachusetts General Hospital');False;;True;[('Jonathan Rosand', 'subject', 'Massachusetts General Hospital faculty'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Massachusetts General Hospital faculty'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Massachusetts General Hospital'), ('Jonathan Rosand', 'WORKS_AT', 'Massachusetts General Hospital'), ('Jonathan Rosand', 'workInstitutions', 'Massachusetts General Hospital')]
('Jonathan Rosand', 'MEDICAL_DIRECTOR', 'Massachusetts General Hospital');False;;True;[('Jonathan Rosand', 'subject', 'Massachusetts General Hospital faculty'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Massachusetts General Hospital faculty'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Massachusetts General Hospital'), ('Jonathan Rosand', 'WORKS_AT', 'Massachusetts General Hospital'), ('Jonathan Rosand', 'workInstitutions', 'Massachusetts General Hospital')]
('Jonathan Rosand', 'HOLDS_CHAIR', 'Massachusetts General Hospital');False;;True;[('Jonathan Rosand', 'subject', 'Massachusetts General Hospital faculty'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Massachusetts General Hospital faculty'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Massachusetts General Hospital'), ('Jonathan Rosand', 'WORKS_AT', 'Massachusetts General Hospital'), ('Jonathan Rosand', 'workInstitutions', 'Massachusetts General Hospital')]
('Jonathan Rosand', 'INDEPENDENT_FACULTY', 'Massachusetts General Hospital');False;;True;[('Jonathan Rosand', 'subject', 'Massachusetts General Hospital faculty'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Massachusetts General Hospital faculty'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Massachusetts General Hospital'), ('Jonathan Rosand', 'WORKS_AT', 'Massachusetts General Hospital'), ('Jonathan Rosand', 'workInstitutions', 'Massachusetts General Hospital')]
('Jonathan Rosand', 'ASSOCIATE_MEMBER', 'Broad Institute Of Mit And Harvard');False;;True;[('Jonathan Rosand', 'WORKS_AT', 'Broad Institute of MIT and Harvard'), ('Jonathan Rosand', 'workInstitutions', 'Broad Institute of MIT and Harvard'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Broad Institute')]
('Jonathan Rosand', 'FOUNDER', 'International Stroke Genetics Consortium');False;;True;[('Jonathan Rosand', 'comment', 'Harvard Medical School Fellowship Training Programs in both Neurocritical Care and Vascular Neurology. He is the founder of the International Stroke Genetics Consortium and served as '), ('Jonathan Rosand', 'abstract', 'Harvard Medical School Fellowship Training Programs in both Neurocritical Care and Vascular Neurology. He is the founder of the International Stroke Genetics Consortium and served as its inaugural steering committee chair.'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Stroke')]
('Jonathan Rosand', 'STEERING_COMMITTEE_CHAIR', 'International Stroke Genetics Consortium');False;;True;[('Jonathan Rosand', 'comment', 'Harvard Medical School Fellowship Training Programs in both Neurocritical Care and Vascular Neurology. He is the founder of the International Stroke Genetics Consortium and served as '), ('Jonathan Rosand', 'abstract', 'Harvard Medical School Fellowship Training Programs in both Neurocritical Care and Vascular Neurology. He is the founder of the International Stroke Genetics Consortium and served as its inaugural steering committee chair.'), ('Jonathan Rosand', 'wikiPageWikiLink', 'Stroke')]
('William Norman Herbert', 'COLONEL', 'Northumberland Fusiliers');False;;True;[('William Norman Herbert', 'subject', 'Royal Northumberland Fusiliers officers'), ('William Norman Herbert', 'wikiPageWikiLink', 'Royal Northumberland Fusiliers'), ('William Norman Herbert', 'wikiPageWikiLink', 'Royal Northumberland Fusiliers officers'), ('William Norman Herbert', 'title', 'Royal Northumberland Fusiliers'), ('William Norman Herbert', 'PART_OF', 'Royal Northumberland Fusiliers'), ('William Norman Herbert', 'unit', 'Royal Northumberland Fusiliers'), ('William Norman Herbert', 'PART_OF', 'Royal Northumberland Fusiliers'), ('William Norman Herbert', 'militaryUnit', 'Royal Northumberland Fusiliers')]
('William Norman Herbert', 'COMMANDER', '23Rd (Northumbrian) Division');False;;True;[('William Norman Herbert', 'wikiPageWikiLink', '23rd (Northumbrian) Division'), ('William Norman Herbert', 'title', '23rd (Northumbrian) Division')]
('23Rd (Northumbrian) Division', 'PARTICIPATED_IN', 'Battle Of France');False;;False;
('William Norman Herbert', 'PARTICIPANT', 'Second World War');False;;True;[('William Norman Herbert', 'wikiPageWikiLink', 'Second World War'), ('William Norman Herbert', 'battles', 'Second World War'), ('William Norman Herbert', 'battle', 'Second World War')]
('William Norman Herbert', 'RECIPIENT', 'Order Of The Bath');False;;True;[('William Norman Herbert', 'subject', 'Companions of the Distinguished Service Order'), ('William Norman Herbert', 'subject', 'Companions of the Order of St Michael and St George'), ('William Norman Herbert', 'subject', 'Companions of the Order of the Bath'), ('William Norman Herbert', 'wikiPageWikiLink', 'Companions of the Distinguished Service Order'), ('William Norman Herbert', 'wikiPageWikiLink', 'Companions of the Order of St Michael and St George'), ('William Norman Herbert', 'wikiPageWikiLink', 'Companions of the Order of the Bath'), ('William Norman Herbert', 'wikiPageWikiLink', 'Order of the Bath'), ('William Norman Herbert', 'WON_AWARD', 'Order of the Bath'), ('William Norman Herbert', 'awards', 'Order of the Bath'), ('William Norman Herbert', 'WON_AWARD', 'Order of the Bath'), ('William Norman Herbert', 'award', 'Order of the Bath')]
('William Norman Herbert', 'RECIPIENT', 'Order Of St Michael And St George');False;;True;[('William Norman Herbert', 'subject', 'Companions of the Order of St Michael and St George'), ('William Norman Herbert', 'wikiPageWikiLink', 'Order of St Michael and St George'), ('William Norman Herbert', 'wikiPageWikiLink', 'Companions of the Order of St Michael and St George'), ('William Norman Herbert', 'WON_AWARD', 'Order of St Michael and St George'), ('William Norman Herbert', 'awards', 'Order of St Michael and St George'), ('William Norman Herbert', 'WON_AWARD', 'Order of St Michael and St George'), ('William Norman Herbert', 'award', 'Order of St Michael and St George')]
