triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('Pinckney Corners Cemetery', 'LOCATED_IN', 'New York');False;;True;[('Pinckney Corners Cemetery', 'LOCATED_IN', 'United States'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'description', 'cemetery in Pinckney, New York')]
('Pinckney Corners Cemetery', 'LISTED_AS_HISTORIC', 'National Register of Historic Places');False;;True;[('Pinckney Corners Cemetery', 'LISTED_ON', 'National Register of Historic Places listed place'), ('Pinckney Corners Cemetery', 'heritage designation', 'National Register of Historic Places listed place')]
('Florence White', 'CREATED', 'White Treasures');False;;True;[('Florence White', 'HAS_SURNAME', 'White'), ('Florence White', 'family name', 'White'), ('Florence White', 'HAS_SURNAME', 'White'), ('Florence White', 'family name', 'White')]
('Florence White', 'PARTICIPATES_IN', 'Exhibition of the Royal Academy of Arts');False;;True;[('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts'), ('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts'), ('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts'), ('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts')]
('Florence White', 'PARTICIPATES_IN', 'Exhibition of the Royal Academy of Arts');False;;True;[('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts'), ('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts'), ('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts'), ('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts')]
('Florence White', 'MEMBER_OF', 'Society of Lady Artists');False;;False;
('Jake Fenlason', 'BORN_ON', '02/02/1993');True;[('Jake Fenlason', 'BORN_ON', '02/02/1993')];True;[('Jake Fenlason', 'BORN_ON', '02/02/1993')]
('Jonathan Rosand', 'HAS_OCCUPATION', 'Chief of the Division of Neurocritical Care and Emergency Neurology');False;;True;[('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher')]
('Jonathan Rosand', 'HAS_OCCUPATION', 'Medical Director of the Neurosciences Intensive Care Unit');False;;True;[('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher')]
('Jonathan Rosand', 'HAS_OCCUPATION', 'Founder of the International Stroke Genetics Consortium');False;;True;[('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher')]
('Jonathan Rosand', 'HAS_OCCUPATION', 'Inaugural Steering Committee Chair');False;;True;[('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher')]
('Jonathan Rosand', 'STUDIED_AT', 'Harvard Medical School');False;;False;
('Jonathan Rosand', 'HAS_ORGANIZATION', 'Broad Institute of MIT and Harvard');False;;False;
('Jonathan Rosand', 'HAS_ORGANIZATION', 'Massachusetts General Hospital');False;;False;
('William Norman Herbert', 'BORN_ON', '26/08/1880');True;[('William Norman Herbert', 'BORN_ON', '1880')];True;[('William Norman Herbert', 'BORN_ON', '1880'), ('William Norman Herbert', 'date of birth', '1880')]
('William Norman Herbert', 'DIED_ON', '26/04/1949');True;[('William Norman Herbert', 'DIED_ON', '1949')];True;[('William Norman Herbert', 'DIED_ON', '1949'), ('William Norman Herbert', 'date of death', '1949')]
('William Norman Herbert', 'PARTICIPATES_IN', 'Battle of France');False;;False;
('William Norman Herbert', 'HAS_OCCUPATION', 'Northumberland Fusiliers');False;;True;[('William Norman Herbert', 'HAS_OCCUPATION', 'military personnel'), ('William Norman Herbert', 'occupation', 'military personnel')]
('Japan Academy Film Prize 2016', 'AWARDED_IN', 'Japan Academy Film Prize');False;;True;"[('39th Japan Academy Prize', 'facet of', 'Japan Academy Film Prize'), ('39th Japan Academy Prize', 'LOCATED_IN', 'Japan'), ('39th Japan Academy Prize', 'country', 'Japan'), ('39th Japan Academy Prize', 'follows', '38th Japan Academy Prize'), ('39th Japan Academy Prize', 'followed by', '40th Japan Academy Prize'), ('39th Japan Academy Prize', 'part of the series', 'Japan Academy Film Prize'), ('39th Japan Academy Prize', 'label', '39th Japan Academy Prize'), ('Japan Academy Film Prize', 'LOCATED_IN', 'Japan'), ('Japan Academy Film Prize', 'country', 'Japan'), ('Japan Academy Film Prize', 'label', 'Japan Academy Film Prize'), ('Japan Academy Film Prize', 'alternative label', 'Japan Academy Prize'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Picture of the Year'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Outstanding Foreign Language Film'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Director of the Year'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Outstanding Performance by an Actress in a Leading Role'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Outstanding Performance by an Actor in a Leading Role'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Best Newcomer'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Outstanding Performance by an Actor in a Supporting Role'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Screenplay of the Year'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Animation of the Year'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Best Film Editing'), ('Japan Academy Film Prize', 'has part(s)', 'Japan Academy Prize for Outstanding Performance by an Actress in a Supporting Role'), ('Japan Academy Film Prize', ""topic's main category"", 'Category:Japan Academy Film Prize'), ('Japan Academy Film Prize', 'conferred by', 'Japan Academy Film Prize Association'), ('Japan Academy Film Prize', ""topic's main template"", 'Template:Japan Academy Film Prize')]"
('Japan Academy Film Prize', 'OCCURS_IN', '04/03/2016');False;;True;[('39th Japan Academy Prize', 'OCCURS_ON', '04/03/2016')]
('Japan Academy Film Prize', 'HELD_AT', 'Tokyo');False;;False;
('Tokyo', 'LOCATED_IN', 'Japan');False;;False;
('Pukhov', 'HAS_NOTABLE_PERSON', 'Ilya Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Pukhov', 'HAS_NOTABLE_PERSON', 'Nikolai Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Pukhov', 'HAS_NOTABLE_PERSON', 'Pavel Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Pukhov', 'HAS_NOTABLE_PERSON', 'Roman Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Pukhova', 'HAS_NOTABLE_PERSON', 'Rufina Pukhova');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Pukhova', 'HAS_NOTABLE_PERSON', 'Ruslan Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Pukhova', 'HAS_NOTABLE_PERSON', 'Stanislav Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Pukhova', 'HAS_NOTABLE_PERSON', 'Timur Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Pukhova', 'HAS_NOTABLE_PERSON', 'Zoya Pukhova');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Scanning electron cryomicroscopy', 'USED_FOR', 'Cryogen');False;;False;
('Monaco', 'HAS_BUILDING', 'Monte-Carlo Pavilions');False;;False;
('Monte-Carlo Pavilions', 'COMPLETED_IN', 'Commercial buildings completed');False;;False;
('Monte-Carlo Pavilions', 'DISBANDED_IN', 'Buildings and structures demolished');False;;False;
('Asoke Chandra Chatterjee', 'BORN_ON', '28/02/1920');True;[('Asoke Chatterjee', 'BORN_ON', '28/02/1920')];True;[('Asoke Chatterjee', 'BORN_ON', '28/02/1920')]
('Asoke Chandra Chatterjee', 'DIED_ON', 'Death');False;;False;
('High Liner Foods Inc.', 'PRODUCES', 'High Liner branded products');False;;True;[('High Liner Foods', 'PRODUCES', 'seafood')]
('High Liner branded products', 'HAS_ORIGIN', 'Canada');False;;False;
('High Liner branded products', 'SOLD_IN', 'United States');False;;False;
('High Liner branded products', 'SOLD_IN', 'Mexico');False;;False;
('High Liner Foods Inc.', 'ESTABLISHED_IN', '1899');False;;True;[('High Liner Foods', 'inception', '1899')]
('High Liner Foods Inc.', 'LOCATED_IN', 'Nova Scotia');False;;True;[('High Liner Foods', 'LOCATED_IN', 'Canada')]
('Nova Scotia', 'LOCATED_IN', 'Lunenburg County');False;;False;
('High Liner Foods Inc.', 'TRADES_ON', 'Toronto Stock Exchange');False;;False;
('Pau Torres Riba', 'BORN_ON', '04/06/1987');True;[('Pau Torres Riba', 'BORN_ON', '04/06/1987'), ('Pau Torres Riba', 'BORN_ON', '04/06/1987')];True;[('Pau Torres Riba', 'BORN_ON', '04/06/1987'), ('Pau Torres Riba', 'BORN_ON', '04/06/1987')]
('Pau Torres Riba', 'HAS_NATIONALITY', 'Spain');False;;True;[('Pau Torres Riba', 'HAS_NATIONALITY', 'Spanish'), ('Pau Torres Riba', 'country of citizenship', 'Spain'), ('Pau Torres Riba', 'HAS_NATIONALITY', 'Spanish'), ('Pau Torres Riba', 'country of citizenship', 'Spain')]
('Pau Torres Riba', 'PLAYS_FOR', 'Spain');False;;True;[('Pau Torres Riba', 'PLAYS_FOR', 'Deportivo Alavés'), ('Pau Torres Riba', 'PLAYS_FOR', 'AD Ceuta'), ('Pau Torres Riba', 'PLAYS_FOR', 'Terrassa FC'), ('Pau Torres Riba', 'PLAYS_FOR', 'Cartagena FC'), ('Pau Torres Riba', 'PLAYS_FOR', 'UE Sant Andreu'), ('Pau Torres Riba', 'PLAYS_FOR', 'CD San Roque de Lepe'), ('Pau Torres Riba', 'PLAYS_FOR', 'Club Lleida Esportiu'), ('Pau Torres Riba', 'PLAYS_FOR', 'FC Barcelona C'), ('Pau Torres Riba', 'PLAYS_FOR', 'Real Valladolid'), ('Pau Torres Riba', 'PLAYS_FOR', 'FC Barcelona Atlètic'), ('Pau Torres Riba', 'country of citizenship', 'Spain'), ('Pau Torres Riba', 'country of citizenship', 'Spain'), ('Pau Torres Riba', 'PLAYS_FOR', 'Real Valladolid'), ('Pau Torres Riba', 'PLAYS_FOR', 'FC Barcelona Atlètic'), ('Pau Torres Riba', 'PLAYS_FOR', 'Deportivo Alavés'), ('Pau Torres Riba', 'PLAYS_FOR', 'AD Ceuta'), ('Pau Torres Riba', 'PLAYS_FOR', 'Terrassa FC'), ('Pau Torres Riba', 'PLAYS_FOR', 'Cartagena FC'), ('Pau Torres Riba', 'PLAYS_FOR', 'UE Sant Andreu'), ('Pau Torres Riba', 'PLAYS_FOR', 'CD San Roque de Lepe'), ('Pau Torres Riba', 'PLAYS_FOR', 'Club Lleida Esportiu'), ('Pau Torres Riba', 'PLAYS_FOR', 'FC Barcelona C')]
('Assim Jamal', 'STARS_IN', 'Kurukshetra');False;;False;
('Assim Jamal', 'STARS_IN', 'Anwar');False;;False;
('Assim Jamal', 'STARS_IN', 'Casanovva');False;;False;
('Assim Jamal', 'STARS_IN', 'Honey Bee');False;;False;
('Assim Jamal', 'STARS_IN', 'Pakida');False;;False;
('Assim Jamal', 'STARS_IN', 'Lord Livingstone 7000 Kandi');False;;False;
('Assim Jamal', 'STARS_IN', 'Anarkali');False;;False;
('Oswestry Town', 'HAS_LOCATION', 'Oswestry');False;;True;"[('F.C. Oswestry Town', 'label', 'F.C. Oswestry Town'), ('F.C. Oswestry Town', 'HAS_WEBSITE', 'http://www.fcoswestrytown.uk'), ('F.C. Oswestry Town', 'official website', 'http://www.fcoswestrytown.uk'), ('Oswestry', 'contains settlement', 'Oswestry'), ('Oswestry', 'different from', 'Oswestry Rural'), ('Oswestry', 'different from', 'Municipal Borough of Oswestry'), ('Oswestry', 'Commons category', 'Oswestry'), ('Oswestry', 'HAS_WEBSITE', 'http://www.oswestry-tc.gov.uk/'), ('Oswestry', 'official website', 'http://www.oswestry-tc.gov.uk/'), ('Oswestry', 'different from', 'Oswestry Civil Parish'), ('Oswestry', 'label', 'Oswestry'), ('Oswestry', 'alternative label', 'Oswestry Rural'), ('Oswestry', 'alternative label', 'Oswestry RD'), ('Oswestry', 'alternative label', 'Oswestry Rural District'), ('Oswestry', 'alternative label', 'Borough of Oswestry'), ('Oswestry', 'alternative label', 'Oswestry Borough (1974-2009)'), ('Oswestry', 'alternative label', 'Oswestry, Shropshire'), ('Oswestry', 'authority', 'Oswestry Town Council'), ('Oswestry', ""topic's main category"", 'Category:Oswestry'), ('Oswestry', 'category of associated people', 'Category:People from Oswestry'), ('Oswestry', 'official name', 'Oswestry '), ('Oswestry', 'native label', 'Oswestry ')]"
('Oswestry', 'HAS_LOCATION', 'Shropshire');False;;True;[('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'located in the administrative territorial entity', 'Shropshire'), ('Oswestry', 'replaced by', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'located in the present-day administrative territorial entity', 'Shropshire'), ('Oswestry', 'historic county', 'Shropshire'), ('Oswestry', 'description', 'former local government area in Shropshire, England'), ('Oswestry', 'description', 'town in Shropshire, England'), ('Oswestry', 'alternative label', 'Oswestry, Shropshire')]
('Shropshire', 'HAS_LOCATION', 'England');False;;False;
('Oswestry Town', 'PARTICIPATES_IN', 'Mercian Regional Football League');False;;False;
('Oswestry Town', 'PARTICIPATES_IN', 'North West Counties Football League');False;;False;
('Oswestry Town', 'IS_A_MEMBER_OF', 'Defunct football clubs in England');False;;False;
('Oswestry Town', 'IS_A_MEMBER_OF', 'Defunct football clubs in Shropshire');False;;True;[('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'located in the administrative territorial entity', 'Shropshire'), ('Oswestry', 'replaced by', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'LOCATED_IN', 'Shropshire'), ('Oswestry', 'located in the present-day administrative territorial entity', 'Shropshire'), ('Oswestry', 'historic county', 'Shropshire')]
('Oswestry Town', 'IS_A_MEMBER_OF', 'Association football clubs established in 2013');False;;True;[('F.C. Oswestry Town', 'instance of', 'association football club'), ('F.C. Oswestry Town', 'sport', 'association football'), ('F.C. Oswestry Town', 'inception', '2013'), ('Oswestry', 'number of seats in assembly', '1')]
('Oswestry Town', 'IS_A_MEMBER_OF', '2020 disestablishments in England');False;;False;
('Oswestry Town', 'IS_A_MEMBER_OF', 'Oswestry Association football clubs disestablished in 2020');False;;True;[('F.C. Oswestry Town', 'instance of', 'association football club'), ('F.C. Oswestry Town', 'sport', 'association football'), ('Oswestry', 'contains settlement', 'Oswestry'), ('Oswestry', 'Commons category', 'Oswestry'), ('Oswestry', 'label', 'Oswestry'), ('Oswestry', 'official name', 'Oswestry '), ('Oswestry', 'native label', 'Oswestry ')]
"(""2015-16 Women's EHF Champions League Knockout Stage"", 'HAS_TOURNAMENT', 'Final Four')";False;;False;
('Rotel Tours', 'HAS_BUILDING', 'Tittling');False;;False;
('Rotel Tours', 'HAS_LOCATION', 'Bavaria');False;;True;[('Rotel Tours', 'HAS_HEADQUARTERS', 'Bavaria'), ('Rotel Tours', 'headquarters location', 'Bavaria'), ('Rotel Tours', 'description', 'companies based in Bavaria')]
('Bavaria', 'HAS_LOCATION', 'Germany');False;;True;[('Bavaria', 'LOCATED_IN', 'Germany'), ('Bavaria', 'country', 'Germany'), ('Bavaria', 'instance of', 'federated state of Germany'), ('Bavaria', 'LOCATED_IN', 'Germany'), ('Bavaria', 'LOCATED_IN', 'Germany'), ('Bavaria', 'located in the administrative territorial entity', 'Germany')]
('Rotel Tours', 'FOUNDED_IN', '1945');False;;False;
('Rotel Tours', 'HAS_PARTICIPATED_IN', '1945');False;;False;
('Gertrude Macdonald', 'BORN_ON', '1871');True;[('Gertrude Macdonald', 'BORN_ON', '1871')];True;[('Gertrude Macdonald', 'BORN_ON', '1871'), ('Gertrude Macdonald', 'date of birth', '1871')]
('Gertrude Macdonald', 'DIED_ON', '1952');True;[('Gertrude Macdonald', 'DIED_ON', '1952')];True;[('Gertrude Macdonald', 'DIED_ON', '1952'), ('Gertrude Macdonald', 'date of death', '1952')]
('Gertrude Macdonald', 'MARRIED_TO', 'Alexander Jamieson');True;[('Gertrude Macdonald', 'MARRIED_TO', 'Alexander Jamieson')];True;[('Gertrude Macdonald', 'MARRIED_TO', 'Alexander Jamieson'), ('Gertrude Macdonald', 'spouse', 'Alexander Jamieson'), ('Gertrude Macdonald', 'alternative label', 'Alexander Jamieson'), ('Gertrude Macdonald', 'alternative label', 'Alexander Jamieson (Mrs.)'), ('Gertrude Macdonald', 'alternative label', 'Mrs. Alexander Jamieson'), ('Gertrude Macdonald', 'married name', 'Jamieson')]
('Gertrude Macdonald', 'CREATED', 'Portrait of the Lady Alix Egerton');False;;False;
('Gertrude Macdonald', 'PARTICIPATES_IN', '1970 exhibition catalog');False;;False;
('Gertrude Macdonald', 'HAS_NATIONALITY', 'English');True;[('Gertrude Macdonald', 'HAS_NATIONALITY', 'English')];True;[('Gertrude Macdonald', 'HAS_NATIONALITY', 'English'), ('Gertrude Macdonald', 'HAS_NATIONALITY', 'United Kingdom of Great Britain and Ireland'), ('Gertrude Macdonald', 'languages spoken, written or signed', 'English'), ('Gertrude Macdonald', 'description', 'English painter')]
('Juan Velarde', 'PARTICIPATES_IN', 'Red Bull Air Race World Championship');False;;False;
('Juan Velarde', 'PARTICIPATES_IN', 'Challenger Class');False;;False;
('Juan Velarde', 'PARTICIPATES_IN', 'Master Class');False;;False;
('Juan Velarde', 'PARTICIPATES_IN', '2016 Campaign');False;;False;
('Rogers Park', 'HAS_MEMBER', 'Chicago');False;;True;"[('Rogers Park', 'location of formation', 'Chicago'), ('Rogers Park', 'instance of', 'community area in Chicago'), ('Rogers Park', 'LOCATED_IN', 'Chicago'), ('Rogers Park', 'LOCATED_IN', 'Chicago'), ('Rogers Park', 'located in the administrative territorial entity', 'Chicago'), ('Rogers Park', ""topic's main category"", 'Category:Rogers Park, Chicago'), ('Rogers Park', 'Commons category', 'Rogers Park, Chicago'), ('Rogers Park', 'reference URL', 'http://homicides.redeyechicago.com/neighborhood/rogers-park/'), ('Rogers Park', 'page banner', 'https://commons.wikimedia.org/wiki/File:Rogers_Park_(Chicago)_banner_Bach_House.jpg'), ('Rogers Park', 'location of formation', 'Chicago'), ('Rogers Park', 'description', 'neighborhood in Chicago'), ('Rogers Park', 'alternative label', 'Rogers Park, Chicago'), ('Rogers Park', 'description', 'Metra train station in Chicago, Illinois, USA'), ('Rogers Park', 'SET_IN', 'Chicago'), ('Rogers Park', 'narrative location', 'Chicago'), ('Rogers Park', 'OPERATED_BY', 'Chicago Park District'), ('Rogers Park', 'operator', 'Chicago Park District'), ('Rogers Park', 'HAS_WEBSITE', 'https://www.chicagoparkdistrict.com/parks-facilities/rogers-phillip-park'), ('Rogers Park', 'official website', 'https://www.chicagoparkdistrict.com/parks-facilities/rogers-phillip-park')]"
('Rogers Park', 'HAS_LOCATION', 'Illinois');False;;True;[('Rogers Park', 'description', 'Metra train station in Chicago, Illinois, USA'), ('Rogers Park', 'description', 'park in Knox County, Illinois, United States of America'), ('Rogers Park', 'description', 'park in Cook County, Illinois, United States of America')]
('The Maggid', 'RELEASED', 'None');False;;False;
('Rogers Park', 'ESTABLISHED', 'None');False;;False;
('4-Carboxybenzaldehyde', 'PRODUCED_BY', 'Terephthalic acid');False;;False;
('Terephthalic acid', 'PRODUCED_IN', 'p-xylene');False;;False;
('Langham Island', 'LOCATED_IN', 'Kankakee River');True;[('Langham Island', 'LOCATED_IN', 'Kankakee River')];True;[('Langham Island', 'LOCATED_IN', 'United States'), ('Langham Island', 'LOCATED_IN', 'Kankakee County'), ('Langham Island', 'LOCATED_IN', 'Kankakee County'), ('Langham Island', 'LOCATED_IN', 'Kankakee River'), ('Langham Island', 'located in or next to body of water', 'Kankakee River')]
('Kankakee River', 'LOCATED_IN', 'Kankakee County');False;;True;[('Kankakee River', 'LOCATED_IN', 'United States'), ('Kankakee River', 'LOCATED_IN', 'Illinois'), ('Kankakee River', 'LOCATED_IN', 'Illinois')]
('Kankakee County', 'LOCATED_IN', 'Illinois');True;[('Kankakee County', 'LOCATED_IN', 'Illinois'), ('Kankakee County', 'LOCATED_IN', 'Illinois')];True;"[('Kankakee County', 'LOCATED_IN', 'United States'), ('Kankakee County', 'instance of', 'county of Illinois'), ('Kankakee County', 'LOCATED_IN', 'Illinois'), ('Kankakee County', 'LOCATED_IN', 'Illinois'), ('Kankakee County', 'located in the administrative territorial entity', 'Illinois'), ('Kankakee County', 'category of associated people', 'Category:People from Kankakee County, Illinois'), ('Kankakee County', 'geoshape', 'Data:United States/Illinois/Kankakee County.map'), ('Kankakee County', 'Wolfram Language entity code', 'Entity[""AdministrativeDivision"", {""KankakeeCounty"", ""Illinois"", ""UnitedStates""}]'), ('Kankakee County', 'category for maps or plans', 'Category:Maps of Kankakee County, Illinois'), ('Kankakee County', 'description', 'county in Illinois, United States'), ('Kankakee County', 'alternative label', 'Kankakee County, Illinois'), ('Kankakee County', 'LOCATED_IN', 'UTC−06:00'), ('Kankakee County', 'LOCATED_IN', 'UTC−05:00'), ('Kankakee County', ""topic's main category"", 'Category:Kankakee County, Illinois'), ('Kankakee County', 'category for people born here', 'Category:Births in Kankakee County, Illinois'), ('Kankakee County', 'Commons category', 'Kankakee County, Illinois')]"
('Illinois', 'LOCATED_IN', 'United States');False;;False;
('William Eaton Foster', 'BORN_ON', '02/06/1851');True;[('William Eaton Foster', 'BORN_ON', '02/06/1851'), ('William Eaton Foster', 'BORN_ON', '02/06/1851')];True;[('William Eaton Foster', 'BORN_ON', '02/06/1851'), ('William Eaton Foster', 'BORN_ON', '02/06/1851')]
