Relationship;Count
MENTIONED_BY;2
CENTERS_ON;1
COLLABORATES_WITH;1
ATTEMPTS_TO_RESCUE_SURVIVORS_FROM;1
DESTROYED_BY;1
ARTIST;9
COLORIST;1
MEDALIST;7
EMPLOYEE;8
BASED_IN;10
QUARTERMASTER;1
OPPONENT;1
SECRETARY;3
WORKED_ON_RETURNS_OF;1
ARRESTED_BY_ORDER_OF;1
INTERNED;2
LEADER_ALONGSIDE;1
CANDIDATE;6
ACTIVE_MEMBER;1
TREASURER;1
SUPPORTER;2
LEADING_FIGURE;1
ELECTION_AGENT;1
ORGANIZER;4
PALL_BEARER;1
PARENT_OF;4
MANAGED_BY;3
BORDERS;1
HABITAT_FOR;3
ACCESS_FROM;2
COMMANDANT;1
FINALIST;7
AFFILIATION;20
EDUCATOR_FROM;2
EMIGRANT_FROM;1
DESCRIBED_BY;21
FOUND_IN;32
RECORDED_IN;12
FEEDS_ON;2
MIXED_BY;4
MASTERED_BY;1
MASTERED_AT;1
NAMED_BY;13
CLOSE_TO;2
DISTRIBUTED_BY;3
VOCALS_BY;1
GUEST_APPEARANCE;3
MIXED_AND_MASTERED_BY;1
STARTED_CAREER_WITH;1
WORKED_WITH;25
PRODUCED;17
PERFORMED_BY;19
FEATURED_ARTIST;5
RANKED_BY;3
ORIGIN;7
RELEASED_IN;9
LISTED_ON;5
FOCUS;5
CO-HOST;2
GUEST_HOST;1
RELEASED;9
RELEASED_UNDER;1
COLLABORATED_WITH;19
DIED_IN;3
WORKS_IN;1
HOSTS;3
MAYOR;3
CATEGORY;36
WINNER;28
DEATH_PLACE;6
ASSOCIATED_WITH;21
COMPLETED_IN;2
CONCERNED_WITH;1
MANDATED_BY;1
MANAGE;1
COLLABORATED_IN_CREATION;3
STUDY;1
PRESERVE_MEMORY;1
LIES_ON_RIGHT_BANK_OF;1
FLOWS_TO;1
CREATOR;21
DEBUTED_AT;1
PUBLISHED_BY;7
TRAINING;1
FRIENDS_WITH;3
PRECEDED_BY;8
LEAGUE;1
HOME_STADIUM;2
PARTNERSHIP;4
TRIBUTARY;2
ESTABLISHED;3
COMPOSED_BY;6
SERVED;3
FOUNDED;6
LEADER;9
POSSIBLE_IDENTITY;1
ORGANIZES;3
FOR;1
PLAYED_AT;2
GRANTS_AUTHORITY;1
ASSIGNS_RESPONSIBILITY;1
DECISION;1
DISPUTED_DECISION;1
HEARD_BY;1
DECIDED_IN;1
HYDROLYSE;1
UNIDENTIFIED_IN;2
EXECUTIVE_DIRECTOR;1
BROADCASTING;3
CEASED_AIRING;1
FINISHED;2
LISTED;5
SPORTS_COMMENTATOR;1
EDITOR_IN_CHIEF;1
PARTNER;8
ASSISTANT_COACH;5
MARRIED;1
CAST;16
FILMING_LOCATION;5
PREMIERE;2
SCREENING;2
COMMERCIAL_RUN;1
ORGANIZED_BY;9
FORMULATED;1
MEMBER_VILLAGE;9
DOUBLES_TITLE;3
SINGLES_TITLE;1
FASTEST_SERVE;1
ELECTION;2
DATE;1
NATIVE_TO;7
ERECTED_BY;1
ONLY_SPECIES;1
FIRST_DESCRIBED_BY;1
AVAILABLE_AS;1
POST;1
HAS_USERS_FROM;3
CREDITED_FOR;4
OCCUPATION;4
STATUS;2
COACH;9
REPRESENT;1
PARTICIPATE;2
NARRATOR;2
BROADCASTED_BY;1
REPRESENTATIVE;6
SUBJECT;6
FACULTY_MEMBER;1
FOCUSES_ON;4
CHIEF_CURATOR;1
DIRECTOR_OF_ACADEMIC_PROGRAMS;1
AUTHORITY;1
MYTHOLOGICAL_DUO;1
ALUMNI_OF;9
PLAYED_AGAINST;1
BANNED_BY;1
DEFEATED_IN;1
APPOINTED;6
DEPARTURE_FROM;1
REBELLION;2
PLAYER;37
GROUNDSMAN;1
HALL_OF_FAME_MEMBER;1
MILITARY_SERVICE;2
DISCHARGES_INTO;1
BASIN;1
AFFILIATED_WITH;5
INAUGURATED;1
CORRESPONDS_TO;1
ADAPTED_BY;1
MADE_BY;1
ART_DIRECTION_BY;1
MANAGER;3
ACTOR;19
ALUMNUS;19
DESIGNATION;1
RUN_BY;2
DEFEATED;11
AWARDED;16
ACTIVE_IN;8
INFLUENCED_BY;5
TEACHES_AT;1
STUDIED_AT;2
ASSISTANT_PROFESSOR;1
KNOWN_FOR;7
USED_IN;9
REPLACE;2
HAS_BENEFIT;5
BUILT_BY;6
USED_BY;3
DESCRIBED_AS;2
MADE_OF;2
RECEIVED;4
SEAT_OF;2
WORKED_AT;1
CHAIR;5
GENERAL_SECRETARY;1
COMPETES_WITH;1
REPRESENTS;16
HELD;7
SPONSORED_BY;3
HAS;4
BORDERED_BY;2
SECOND_HIGHEST_PEAK_AFTER;1
NOMINEE;6
COMPOSER;7
DISTRIBUTOR;2
IMPRISONED;3
TRANSFERRED_TO;7
LOCATED_AT;3
HONOURS;2
RELATIONSHIP;2
DIGITIZING;1
ACQUIRED;2
BISHOP;6
PERSONNEL;4
HAS_ETHNICITY;1
EDUCATED_IN;1
BECAME_MAGISTRATE_IN;1
PRESIDENT_OF;3
CHAIR_OF;2
VICE-CHAIR_OF;1
BROADCASTER;1
CONTROVERSY;2
MILITARY_PERSONNEL_FROM;1
TRANSLATED;5
MANUSCRIPT_HELD;1
RESIDED_AND_WORKED;1
CENTER_FOR;1
ORIGINATES;1
DRAINS_ALONG;2
COALESCES_WITH;1
NAMED;4
HOSTED;7
TRANSFORMED_INTO;4
REFER_TO;3
STARRED;8
RECEIVED_AWARD;5
ETHNICITY;3
EMPLOYMENT;4
LEADERSHIP;3
AWARD;14
CHAIRPERSON;1
FIRST_CAMPUS;1
NEW_CAMPUS;3
STATE;1
ADMISSION;4
FOLLOWS;4
BUILT_IN;2
COMMANDED_BY;2
INVOLVED_IN;3
HAS_PRINCIPAL;1
DEDICATED_TO;6
HOUSES_RELICS_OF;1
PHOTOGRAPHER;2
EXHIBITION;5
THEATRICAL_PRODUCTION;1
UNDER;3
FORMER_MEMBER;3
FOUNDED_IN;2
PREPARATION;1
CONFLUENCE_LOCATION;1
COLOR_SOURCE;2
AWARD_RECEIVED;7
CATALOG_PUBLISHED;1
PARTICIPATION;4
ATTACKED;1
COMPETITOR_IN;1
HELD_IN;6
SUPPORTED_BY;3
OPPOSED_BY;1
RESTRICTED;1
CAMPAIGNED_FOR;1
APPROVED;1
DEPUTY_LIEUTENANT;1
HIGH_SHERIFF;1
PRISONER_OF_WAR;1
ESCAPEE;1
OFFICER;3
PLAYS;7
HAS_STATUS;1
ATTENDED;5
DRAFTED_BY;2
OPPOSITE;3
HERITAGE_GRANT;1
MEMBER_JOINED;5
SPLIT_ALBUM;1
SIGNED_WITH;6
MAY_REFER_TO;14
IN;4
EXPATRIATE_IN;6
DISTANCE_FROM;2
DIVIDED_INTO;1
PLAYS_IN;7
HELD_POSITION;14
CONSUL_WITH;1
DESIGNED_BUILDINGS_IN;2
DESIGNED_IN_STYLE;1
ACTIVE_UNTIL;1
USES;5
DEPUTY_MAYOR;1
INVESTIGATED;1
POSITION;3
NATIONAL_RECORD;1
HAS_PROFESSION;10
TEACHER;3
INVITED;1
MENTIONS;5
ACADEMIC_STAFF;2
PHD;3
CARRIES_PROGRAMMING;1
CONSISTS_OF;9
INSTANCE_OF;2
AMALGAMATED_WITH;2
AFFECTED_BY;1
RAN_LEAGUES;1
OPERATED_IN;2
INVITES_INVESTMENT;1
CAMPAIGN_MANAGER;2
ADVISOR;1
RESIDENT;2
PROPONENT;4
PROVIDES_ADVICE_TO;3
PROVIDES_ADVICE_ON;2
DESCRIBED;6
CRITICAL_OF;1
INTERACTION;1
SPECIALIZES_IN;3
BUILT_FOR;2
SOLD_TO;4
LEASED;1
COMPETITOR;11
RULER;2
BUILDER;1
WON_SINGLES_TITLES;1
WON_DOUBLES_TITLES;1
SINGLES_RANKING;1
DOUBLES_RANKING;1
RECEIVED_WILDCARD;1
REFERENCE;6
PLAYER_OF;1
RATED_BY;1
MEMBERSHIP;2
COMPETITION;1
MERGED_INTO;1
CLUB;1
DEFENDANT;5
CO-FOUNDER;3
PRODUCES;10
CHIEF_PATRON;1
DEAN;1
ADJUNCT_PROFESSOR;1
HOLDS_POSITION;4
START_LOCATION;1
END_LOCATION;1
HEADED;1
FEATURED_ON;5
CHARTED_ON;2
LATER_MEMBER;4
CAREER_END;1
REPORTED;1
INVOLVED;2
AFFECTED;4
INFLUENCED;2
CONDUCTED_RESEARCH;1
CONNECTS;8
PLAYS_AT;1
BEGINS_WITH;1
RERELEASE;1
CENTRAL_ICON;1
EX-CHAIRMAN;1
NATIONAL_PRESIDENT;1
NDA_CANDIDATE;1
GOLD_MEDALIST;2
CONTRACT;2
PROGRAM;1
HOST;3
WORK;4
CARRIES;4
CROSSES;1
DELISTED;2
DESTROYED;1
LEASE;1
EXCEPTION;1
INVOLVES;4
LED_TO;2
ADOPTED;1
INTRODUCED;3
REPURPOSED_AS;1
ORIGINALLY_BUILT_FOR;1
LARGEST_IN;1
COVERS;2
EDITOR;9
HEAD_COACH;4
AUDITIONED;1
FINISHED_BEHIND;3
RUNNER_UP;2
THIRD_PLACE;1
HEADED_BY;2
GOVERNED_BY;2
INTRODUCED_DURING;3
STATION;6
COMBINE;2
ATTEMPT;1
INCLUDE;5
ENDED_CONTROL_BY;1
ESTABLISHED_DOMINANCE_WITH;2
RESPONSE;1
SETTLER;1
NEAR;15
OVERSEEN_BY;1
HOUSES;2
COVERED;1
EMIGRATION;1
DESCRIBED_IN;6
SUPERVISION;1
VERSION_OF;2
COFOUNDER;1
QUALIFICATION;4
HOST_SELECTION;1
LOCATED_ON;5
ORIGINATOR;1
NEPHEW;1
SPECIALIZES;1
DEVELOPER;1
FINANCE_MINISTER;2
PREDECESSOR;2
CREATED_BY;5
RECORDED_WITHOUT;1
EXPATRIATE;14
HAS_SPECIES;2
AWARD_WINNER;5
FOUNDING_MEMBER;2
ONLY_MEMBER_OF;1
HOSTED_BY;1
SPONSOR;1
PRODUCTION_COMPANY;1
SETTING;3
PARENT;4
PROFESSION;7
EDITION;1
MERGED_FROM;42
DEFENDING_CHAMPION;5
WON_TITLE;1
COMPETED_AGAINST;3
TEAMMATE;2
SOURCE_OF_INFORMATION;1
CO-WRITER;1
SONGWRITER_FROM;2
PERSON_FROM;1
DEPUTY_SPEAKER;1
SEQUEL_TO;2
MENTIONED_IN_LINER_NOTES;1
REVIEWED;1
COLLABORATION;2
ELECTION_FOR;1
ANNOUNCED_NOT_STANDING;1
RE_ELECTED_AS_DEPUTY;1
PLANNED_FILM_DIRECTOR;1
CENTENARY_RELEASE_INTENTION;1
SPANS;1
CONTRACTED_BY;1
FABRICATED_BY;1
LOCATED_UPSTREAM_OF;1
BESTOWED_BY;1
IN_REMEMBRANCE_OF;1
INTERMEDIARY_BETWEEN;2
SUPPORTS_MODEL;1
HAS_FEATURES_OF;1
SIMILAR_TO;2
CAPTAIN;11
COUSINS;1
FATHER-SON;2
NOT_RELATIVES;1
HAS_REPRESENTATIVE_LIST;1
CONSERVATION;2
LECTURER;2
CROWDFUNDING;1
ELECTION_DATE;1
TIME_PERIOD;1
COMPONENT_OF;1
TOXIC_EFFECT;1
PREPARED_FROM;1
REACTED_WITH;1
SERVED_DURING;1
OVER;1
ALIAS;2
WROTE;7
CO_WRITTEN_BY;3
FEATURES;20
RETOLD_BY;2
BROADCAST_ON;2
ACQUIRED_FORMAT_RIGHTS;1
EQUIVALENT;1
LABEL;2
PRODUCER;10
SUNG_BY;3
PRESENTED_BY;1
ADVERTISEMENT;1
KALLAM_OF;1
LOCATED_NEAR;2
BURIAL_PLACE;2
LED_BY;4
FORMED_IN;1
FORMED_DURING;1
OPPOSED;3
DISTRUSTED_BY;1
INCLUDED;4
INVOLVED_IN_FORMATION_OF;1
INCLUDED_FORMER_MEMBERS;1
CRITICIZED;3
SURGEON_MAJOR;1
SECOND_LIEUTENANT;2
RECRUITED;1
WOUNDED_AT;1
REBUILDING_AFTER;1
TOOK_OVER;1
SUFFERED_CASUALTIES;2
COMMANDING_OFFICER;1
FOUGHT_AT;1
DIRECTED_CAPTURE;1
MARRIED_TO;4
BUSINESS_PARTNER;2
CO_FOUNDED;1
CONTRIBUTOR;2
MEMORIAL_DEDICATED;1
CURATOR;1
DRAFTED_IN;1
SERVES;4
ABOUT;6
ARRANGED_BY;1
PROTAGONIST;1
LIES_AT;1
SOUTHEAST_OF;1
ESTABLISHED_BY;2
INTENDED_TO_OPEN;1
CALLED_FOR_ESTABLISHMENT;1
EFFECTIVELY_ENDED;1
DRAINS_INTO;1
ORIGINATES_FROM;1
FED_BY;2
OFFICIAL_WEBSITE;7
KNOWN_FROM;7
DISTRIBUTED;1
ART_DIRECTION;1
PART_OF_ALBUM;1
RENAMED;1
TRAINED_UNDER;2
WON_STIPEND_WITH;1
LIVED_WITH;1
LIVED_IN;3
DROWNED_IN;1
DISPLAYED_AT;4
FIRST_FOUND;1
RECORDED_AT;4
CENTERED_NEAR;2
FELT_IN;1
DECLARED_STATE_OF_EMERGENCY;1
RUNNING_MATE;2
PERFORMANCE;2
BEST_PERFORMANCE;1
BEST_THIRD_PARTY_PERFORMANCE_SINCE;1
DID_NOT_CARRY;4
ADVOCATES;1
CONTRIBUTED_TO;2
RECOGNITION;2
TOURED_WITH;8
ALBUM;1
ALBUM_PREMIERE;1
BREAKTHROUGH_ARTIST;1
WORKS_AT;3
COMMERCIALS;1
GUEST;1
TRANSLATOR;1
COMPARISON;1
CONTRIBUTION;1
COMPETE_IN;2
SEASON;1
PROFESSIONAL;1
LARGEST_PARTY;2
MINORITY_ADMINISTRATION;1
THIRD_LARGEST_PARTY;1
CONNECTS_TO;31
CONNECTED_BY_ROAD;3
CONNECTED_BY_NH_766;1
HAS_ATM;3
LOCATED_BETWEEN;2
NORTHWEST_OF;1
NORTHEAST_OF;4
ACTING_POSITION;1
SUPPORTS;1
POWER_GENERATION;1
DUE_TO;1
ON_PLATFORM;1
EQUIPPED_WITH;1
STARRING;10
PARLIAMENTARIAN;1
POLITICIAN;3
CO-EDITOR;1
PROFILE;1
FEATURE_OF;1
OLD_WESTERN_NAME_OF;1
TIED_RECORD;1
MERGER;2
RENAMED_FROM;1
PARTNERED_WITH;3
EDITED_BY;1
OCCURS_DURING;1
TAKES_PLACE_AT;1
OCCURS_BEFORE;1
ALLOWS_CANDIDATES_FROM;2
RECORDING_OF;9
CITIZEN;2
CONTESTED;1
CAREER_LOCATION;2
ENGRAVER_TO;1
RECOGNIZED_BY;1
CHIEF_SEAL_ENGRAVER_TO;1
COVERED_BY;1
CAUSES;2
OVERLAYS;1
DETECTED;1
DISCOVERED;1
DIFFERENT_FROM;1
STABILIZES;1
OBSERVED_BY;2
SPORT;1
SEQUEL;3
RELEASE_YEAR;1
DRAINED_INTO;4
TRIBUTARY_TO;1
DIVERTED_INTO;1
ABBREVIATION_OF;2
RE-ELECTION;1
SECURED;1
LOST_PRIMARY;1
LOST_GENERAL_ELECTION;1
DESIGNED;11
BOARD_MEMBER;1
ADVISORY_COUNCIL_MEMBER;1
TRUSTEE_OF;1
CHAMPION_OF;2
BEAT;1
NOT_RECOGNIZED_BY;1
RECOGNIZED_RECORD_OF;1
STUDENT;3
PROJECT_OF;1
PLACED_IN;1
FROM_PERIOD;1
FROM_LOCATION;1
RELEASE_DATE;2
FOUNDED_BY;3
FEATURED_IN;8
HAS_NATIONALITY;2
WRITES_IN_LANGUAGE;1
OPERATES;5
PREVIOUSLY_OPERATED;3
REBRANDED_TO;1
VICE_PRESIDENT;1
MANUFACTURER;3
MOVED_FROM;1
CLASSIFIED_AS;6
REPLACEMENT;1
BETTER_BEHAVIOR;1
ENUMERATIVE_PROBLEM;1
EXAMPLE;1
CLASS;2
CONTRACTS_TO;1
USED_TO_COUNT;1
STUDIO_LOCATION;3
VOTED_FOR;6
WON_ALL_COUNTIES;1
EXHIBITED_AT;1
BELIEF;2
REVISION_OF;1
INTERVIEWS;1
TOUR;2
HOLDS;3
PARTICIPANT_IN;2
ASSISTANT_AT;1
SENIOR_PHYSICIAN_AT;1
CHIEF_PHYSICIAN_AT;1
CHIEF_SENIOR_PHYSICIAN_AT;1
HAS_BRANCH;1
HAS_PUBLICATION;1
MEMBER_OF_PARLIAMENT;2
ADMIRAL;1
ADVANCES_TO;3
COMPILED_BY;4
SONG_COVERED;4
POPULARIZED;1
SONG_PRODUCED;1
BELONGED_TO;1
REPLACED_BY;2
ASSISTED_BY;4
RESIDED_IN;3
COMMEMORATED;1
EDITORS;1
COLLABORATOR;14
INCORPORATED;3
PUBLISHED_IN;8
RESEARCHED;2
LIES_SOUTHEAST;1
PUBLISHES;2
DATA_PROVIDER;1
GRANDPARENT;4
PREPARED_COMMISSARS_FOR;1
BUILDING_TRANSFERRED_TO;1
CLAIMS_DESCENDANT_OF;1
CONTAINS_QUOTES_OF;1
BUILDING_PREVIOUS_OWNER;1
BUILDING_TAKEN_FROM;1
DOCUMENTARY_BY;1
DEPICTS;3
PRODUCED_IN;3
LANGUAGE;2
FORMAT;3
GENRE;2
SERIES;1
INTERVIEWEE;2
CONNECTED_TO;6
FORMER_NAME;1
ATHLETE;1
CLIENT;1
FAVORITE_OF;1
EXPOSES;1
BEFORE;1
DISCUSSION;2
REVIEW;1
SELECTION;1
ADVOCATE;1
ROLE;11
RECORD_HOLDER;1
INSTALLATION_OF;1
OF_ORGANIZATION;2
FROM_PLACE;1
SPUR_ROAD;1
TRAVERSES;1
OFFICIAL;1
CONSULAR;1
POLITICAL_OFFICER;1
POSTED;2
DCM;1
GENERAL_CONSUL;1
ASSOCIATE_DEAN;1
CHAIRMAN_OF_THE_EDITORIAL_BOARD;1
MILITARY_PERSONNEL;1
OPENED_BY;1
LAUNCHED_PUBLIC_APPEAL;1
MONUMENT;1
ESTABLISHED_IN;3
SUCCESSOR;2
RUNS;1
SHOWN_AT;2
ASSISTANT;2
APPOINTED_BY;3
SERVED_IN;11
COMMENTED_ON;1
DEMOTED;1
SENT_TO;1
BURIED_IN;2
PUBLISH;2
INITIATE;1
IMPRINT;1
HAS_DEPARTMENT;1
HAS_ORGANIZATION;1
BREEDING_STALLION;2
BAPTIZED_INTO;1
ATTENDED_SCHOOL;1
FOUNDED_HOSPITAL_AND_SCHOOL;1
DECLARED_PERSON_OF_NATIONAL_HISTORIC_SIGNIFICANCE;1
LOCATED_NEXT_TO;2
PRESENTED_AT;1
REFERS_TO;4
COMPLIES_WITH;1
PREVENTS;1
AVOIDS;2
CINEMATOGRAPHER;1
PRINCIPAL_PHOTOGRAPHY_COMMENCED;1
FIRST_LOOK_POSTER_RELEASED;1
ENCODES;1
PRESENT_IN;2
COMPLETED;1
COINCIDED_WITH;1
RE_ELECTED_AS;1
FAILED_TO_RETURN;1
LAST_TIME_POPULAR_VOTE_WINNER_DID_NOT_WIN_MOST_SEATS;1
LOST_TO;3
SENIOR_MANAGER;1
INTERNATIONAL_PLAYER;1
ATTRACTS;1
HAS_WEBSITE;2
WESTERNMOST_POINT_OF;1
SURVEY_OF;1
COMMISSIONED;2
GRADUATED_FROM;1
RESIDED_AT;1
WORKED_AS;1
ORDAINED_INTO;1
ORDAINED_IN;1
COADJUTOR_BISHOP;1
ORIGINATED_IN;1
ARRIVED_IN;1
CONTRIBUTES_PLAYERS;1
RESURRECTED_AS;1
INDEPENDENT_MARKETING_CONSULTANT;1
HEAD_OF_FILM_AND_TELEVISION;1
MUSIC;4
THEME;1
BRONZE_MEDALIST;3
TRIES_TO_STOP;1
MEETS_WITH;2
SUMMONS;1
RESOLUTION_OF;1
DEVELOPED_BY;1
BASED_ON_CONCEPT_BY;1
DEMONSTRATES_CONCERNS_WITH;1
FRIEND_OF;1
PUPIL_OF;1
REFURBISHED;2
SUBMITTED_DESIGN;2
FOLLOWER_OF;1
EULOGIZED;1
AVOIDED;1
GENERAL;1
SIGNATORY;1
WON_GOLD_MEDAL;2
BORDER;2
LOCATED_ON_LEFT_BANK;1
NORTH_OF;1
ELECTED;1
RAN_FOR;1
LEADERSHIP_CANDIDACY;1
SUCCEEDED;2
MINISTER_RESPONSIBLE;1
CONTRIBUTED_TO_GROWTH;1
HELPED_ESTABLISH;1
SECURED_INVESTMENT;1
LAUNCHED;1
ENACTED;1
REJOINED;1
COEXISTS_WITH;1
CONVENER;1
COUNCILLOR;6
PLAYED_AS;1
DEBUT_FILM;1
VICE-PRESIDENT;2
MAINTAIN_CONTACTS;1
FOUND_ON;4
CARRIED_BY;1
NO_ANTIMICROBIAL_ACTIVITY;1
ANTIMICROBIAL_ACTIVITY;3
SEQUESTERS;2
BIOCONTROL_ACTIVITY;4
LESS_EFFECTIVE_BIOCONTROL;2
SEQUENTIAL_INOCULATION;1
CO-FERMENTATION;1
AFFECTS;1
MANAGED;2
MANUFACTURED_BY;1
USED_WITH;1
DOCUMENTATION_AT;2
DEPICTED;1
WORKED_FOR;4
JURY_MEMBER;1
WON_MEDAL;1
REPRESENTED_AT;1
HAS_WORK_IN_COLLECTION;2
CONTROL;1
TARGETING;1
CONNECTS_WITH;2
CO-FOUNDED;1
ART_SUBJECT;4
HELD_ON;1
HAS_TYPE_STRAIN;1
PLAYED_IN;3
AMBASSADOR;4
AUTHOR_OF;3
PERFORMED;1
HAS_MOTHER;1
HAS_FATHER;1
RELATED_EVENT;1
APPEARED_IN_MUSIC_VIDEO;1
SONGWRITER_FOR;14
SINGER_FROM;1
SINGER-SONGWRITER_FROM;1
RELEASED_AT;1
FIRST_FICTION_FILM_SINCE;1
NOTED_IN;7
DENOUNCES;1
OBTAINED;1
CONDUCTED_RESEARCH_IN;1
QUALIFIED_FOR;6
NEGOTIATED;1
AUTONOMY;1
WAR;1
SOUGHT_AID;1
KING;1
EXPELLED;1
