Label;Count
Genre;4
Language;2
FilmCategory;2
AnimeDirector;1
Coach;11
Record;1
Library;1
Mandal;1
AdministrativeDivision;6
RevenueDivision;1
Ship;15
Poet;2
Playwright;1
Play;4
Sports;3
Team;20
Neighborhood;2
CattleBreed;14
Archipelago;2
Country;33
Province;5
Aircraft;3
List;1
Comedian;1
TelevisionShow;5
Inventor;1
Benefit;1
Compatibility;1
Support;1
Pin Compatibility;1
Plug Compatible;1
Clone;1
Backward Compatibility;1
Kludge;1
Software Architecture;1
Townland;1
CivilParish;1
Barony;1
Cardiologist;1
Stadium;4
LGBT;1
NaturePark;1
Geopark;1
GeologicalSite;22
Temple;5
Book;13
LaboratoryEquipment;1
FieldApplication;1
NuclearPhysics;1
FinancialValue;4
Documentary;4
Controversy;1
Monk;1
Translation;2
Movement;1
Glacier;2
FamilyMember;4
BusinessSchool;1
Trail;1
Submarine;2
School;9
Statistic;1
Sport;8
Saint;5
Relics;1
Photographer;3
Fraternity;1
Manager;1
League;12
Incident;3
VoterTurnout;1
VoterApproval;1
Proposal;1
OppositionGroup;1
PoliticalEvent;1
FootballPlayer;2
Disambiguation;4
HeritagePlace;1
EndemicFauna;1
Church;29
EducationalAssessment;1
NationalPark;1
Region;14
Lake;16
Device;1
Trick;4
Insect;7
Fish;2
SeaSnail;1
Cinematographer;1
FilmDirector;2
Philosopher;3
Mathematician;1
ComputerScientist;1
Commune;26
Department;4
Sugar;2
Tool;1
Firm;1
Advice;1
Project;9
EthnicGroup;1
Gender;1
MountainSpirit;1
Creature;1
Toxin;2
Locomotive;1
Nickname;1
LocomotiveType;1
Gauge;1
RailwayLocomotive;1
Dynasty;1
Artwork;1
Painting;2
Prize;1
Category;4
PowerStation;1
Group;1
Bacterium;5
Feature;5
OilField;4
Pipeline;1
Title;1
JazzGuitarist;7
Research;5
BuddhistTemple;1
Bodhisattva;1
HistoricSite;1
Program;1
Bridge;4
Transportation;1
Pedagogy;1
Theory;1
Resource;2
HomelessShelter;1
Journal;6
InvestmentGroup;1
Road;6
Airport;3
PoliticalParty;16
ResearchInstitute;2
TouristAttraction;7
Death;1
Family;7
EnergyInfrastructure;3
Ward;1
Designer;2
ArtMovement;3
Education;2
Theatre;6
Score;1
PoliticalPosition;2
Governorate;1
Census;2
Study;1
Composition;4
Club;2
Reptile;1
Evolution;1
Characteristic;1
Mineral;4
MineralGroup;1
MineralType;7
MineralDiscovery;1
Race;1
IPC Athletics Asia-Oceania Championship;1
ChannelFamily;1
Subfamily;7
Database;1
FilmCritic;1
Historian;1
Process;2
Monosaccharide;1
Songwriter;1
RecordProducer;1
Network;2
MeasurementUnit;1
Producer;1
Restaurant;2
Patent;1
MilitaryUnit;3
RailwayStation;4
Facility;1
HealthcareSystem;1
Bay;2
Pumping Station;1
Competition;1
Community;5
Invertebrate;1
ScientificPublication;1
Disaster;1
Casualty;2
Health Organization;2
Town;2
Dam;1
HyperRealisticArtist;1
CulturalGroup;1
Budget;1
Association;2
Vote;1
Abbreviation;2
Commission;1
PoliticalCandidate;3
LandscapeDesigner;1
Period;1
Teacher;1
Media;6
MultimediaArtist;1
Video;1
Classification;1
Mathematical Object;3
Election;1
Scholar;3
Certification;2
TradeUnion;1
Publication;1
TradeUnionType;2
TradeUnionStatus;3
Text;1
Format;1
Director;1
Screenwriter;1
Newspaper;1
Naturalist;1
Alga;1
Quote;2
ArchaeologicalSite;2
Lawyer;1
Politician;1
Essayist;1
Journalist;1
Commercial;1
CulturalConcept;1
Operation;1
Magazine;2
Sculptor;2
MilitaryInstallation;1
Military;1
MusicVenue;1
Band;7
PoliticalDistrict;1
Racehorse;2
Museum;6
HistoricalAssociation;1
HistoricalSociety;1
Taxa;7
PhysicalRestraint;1
Legislation;1
Gene;5
Star;1
VariableStar;1
Subgenus;1
ArtGallery;1
Psychiatrist;1
Climate;1
Important Bird Area;1
Seabird Colony;1
Composer;2
Chef;1
Food;1
GoldCoin;1
Philanthropist;2
English etchers;1
English engravers;1
Inhibitor;1
Photopharmacology;1
Cell;1
Cell Division;1
Disease;1
Therapeutic Approach;1
Response Time;1
Precision;1
Side Effects;1
Light;1
Tumor;1
Hazard;1
Tunnel;3
Tunnel Network;1
Filmmaker;1
Music;2
FilmEditor;1
Dance;1
Currency;1
HydroelectricPowerStation;1
IndigenousName;2
Pest;1
Philosophy;1
Monastery;1
Outcome;1
Yeshiva;1
Broadcast;1
Physiologist;1
VideoGame;2
Platform;1
GameType;1
Wealth;1
Fraud;1
LandUse;2
Parasite;1
ResearchInterest;1
Arena;1
Conference;1
Micro-Calligrapher;1
Bank;3
Nerve;4
LandClaim;2
Adhesive;1
TranscriptionFactor;2
Government;1
Leader;1
Apostle;1
Overseer;1
Prophet;1
Deacon;1
Minister;1
Structure;1
God;1
Festival;1
Actress;1
Canton;1
Population;1
Archaeologist;1
ArchitectureStyle;5
Participants;1
Subspecies;2
Misconduct;1
PersonalityTrait;1
LegalTerminology;1
TimeManagement;1
LocalGovernmentArea;1
MythologicalFigure;1
Gastropod;1
Committee;3
GovernmentDepartment;1
Service;3
Yacht;1
RailwayDivision;1
Train;7
Player;1
NationalRegister;1
MilitaryVessel;1
Entrepreneur;1
Training;1
FictionalTriplet;1
MaleCharacter;1
FictionalSurgeon;1
