Class;No. ChildrenEntities
Instrument;0
Play;0
AwardNomination;0
HistoricHome;0
HistoricPeriod;0
HistoricalPeriod;0
TimePeriod;0
Year;0
State;0
Constituency;0
BiologicalConcept;15
Species;0
Plant;3
Shrub;0
Tree;0
PlantFamily;0
Animal;5
Cat;0
Insect;0
Bacterium;1
Bacteria;0
Racehorse;0
Snake;0
BodyPart;2
Nerve;0
Muscle;0
MedicalCondition;0
Enzyme;0
Fungus;0
Moth;0
Beetle;0
Genus;0
Mineral;0
ProteinFamily;0
IonChannel;0
Protein;0
Gene;0
Beverage;0
Settlement;0
EthnicGroup;1
Ethnicity;0
TransportFacility;3
TransportationStation;1
RailwayStation;0
TransportHub;0
TransportService;0
NatureReserve;0
BotanicalFeature;0
Park;0
Mountain;0
MusicChart;0
Census;0
PoliticalParty;0
EducationalApproach;0
Tier;0
FootballSystem;0
InvestmentGroup;0
Mayor;0
License;0
OilField;0
AircraftList;0
SportsFacility;0
Locomotive;1
Train;0
Shipyard;0
PowerStation;1
PowerSource;0
DegreeProgram;0
EducationalFoundation;0
Game;0
Race;0
AthleticAssociation;0
AthleticLeague;0
Submarine;0
Object;0
Deity;0
Purpose;0
RailwayDivision;0
Chart;0
Commercial;0
BiologicalSpecies;0
Tribe;0
Position;0
Dam;0
Course;0
Platform;0
Facility;0
HealthcareSystem;0
Act;0
HealthService;0
Continent;0
Website;0
Community;0
Earthquake;0
RadioShow;0
SportsPosition;0
BiochemicalMethod;0
Treatment;0
TradeUnion;0
CoachingCertification;0
FilmDirector;0
Summit;0
Accident;0
Treaty;0
Empire;0
ReligiousFigure;0
HistoricalFigure;0
GivenName;0
Legislation;0
Zoo;0
Composition;0
Orchestra;0
Player;0
MusicExecutive;0
MedicalConcept;0
ExecutiveCouncil;0
Ministry;0
CharityAdministrator;0
Medication;0
CulturalAssociation;0
Parent;0
Study;0
Drama;0
ResidentialArea;0
Statue;0
IndigenousGroup;0
Text;0
Sculpture;0
Noble;0
CulturalIdentity;0
Hill;0
TradeRoute;0
Wingspan;0
VideoGame;0
VideoGameConsole;0
ReleaseDate;0
Contract;0
Congress;0
MilitaryInstallation;0
HistoricalSignificance;0
HistoricalSociety;0
EducationalMethod;0
Star;0
