Relationship;Count
NARRATED_BY;2
ORIGINATES_FROM;3
AFFILIATED_WITH;6
OPERATES;5
ENDEMIC_TO;4
GROWS_IN;6
PRODUCES;4
INAUGURATED_BY;1
COMPOSED_BY;8
WORKED_IN;7
WORKED_AT;8
REPLACES;4
HAS_FEATURE;5
USED_AS;2
HOME_OF;4
REPRESENTS;13
SERVES_ON;1
SERVES_AS;6
SPONSORED_BY;2
ADAPTED_FROM;6
IMPRISONED_IN;3
DEDICATED_TO;10
USED_IN;2
VALUED_AT;1
MADE_BY;4
CAUSES;1
TRANSLATED_BY;5
RESIDED_AT;4
ENDOWED_BY;1
HOSTS;6
AWARDED_TO;3
RECEIVED;9
BELONGS_TO;10
BUILT_AT;3
COMMANDED_BY;2
ORDERED_ON;2
BUILT_ON;3
LAUNCHED_ON;1
COMMISSIONED_ON;4
LED_BY;1
FOLLOWS_POLICY;1
FOUNDED_ON;1
HAS_COLOR;2
EXHIBITED_AT;1
HAS_HISTORY;3
EXECUTES;2
ENFORCED_BY;1
FORMED_IN;1
REESTABLISHED_IN;1
INVESTIGATED_FOR;1
TEACHES;3
MENTIONED_IN;2
MENTIONED_BY;3
BROADCASTS;3
ORGANIZES;6
PROPONENT_OF;1
USES_TOOL;1
PROVIDES_ADVICE_TO;3
CRITICIZES;2
HEADQUARTERED_IN;6
CONVERTED_TO;3
CLOSED_BY;2
HAS_NICKNAME;1
PLAYED_FOR;15
RULED;4
BUILT;1
HOUSED_IN;3
HELD_IN;6
SUBGENUS_OF;6
RUNS_FOR;11
FEATURED_ON;2
FORMED_BY;5
OCCURRED_ON;5
CONNECTS;8
SUPPORTED_BY;2
EDITORS;3
COVERS;1
LOCATED_BETWEEN;9
CONNECTED_TO;14
HAS_DATE;2
WON_AT;1
PLAYS;1
ASSOCIATED_WITH;12
CREATES;2
WRITTEN_IN;1
HAS_FORMULA;1
PART_OF_TEAM;12
LISTS;1
DURING;5
INSPIRED_BY;3
RELATED_TO;7
ACQUIRED;1
BURIED_IN;3
PROMOTED_TO;7
SELECTED_IN;1
SUBJECT_OF;1
RECEIVES;8
BORDERED_BY;3
ESTABLISHED_BY;1
HOSTED_IN;1
STUDIED_UNDER;1
STUDIED_WITH;1
DROWNED_IN;1
INCLUDES;2
RECORDED_AT;1
DECLARED_STATE_OF_EMERGENCY;1
SERVES;1
BORDER_WITH;2
ADVOCATES_FOR;1
PLAYS_AS;1
DESIGNED_AS;1
REGISTERED_AS;5
GENERATES_POWER;2
ADMINISTERED_BY;2
EDITOR_OF;1
RENAMED_TO;4
FOUNDED_IN;3
CONTESTS;3
INCLUDED_IN;2
PUBLISHES;2
HOLDS_LICENSE;2
COMPILED_BY;1
USED_BY;1
RANKED_BY;2
EXPOSES;1
HOSTS_BAND;4
HELD_ON;1
HAS_HEADQUARTERS;2
FEATURES_CHARACTER;2
SERVED_IN;2
BRED_IN;3
TRAINED_IN;2
SPOKE;4
ENCODED_BY;2
COMMISSIONED_BY;1
IS_A;2
MIGRATES_TO;3
RESIDED_IN;1
QUALIFIES_VIA;1
BASED_ON;1
MANUFACTURES;2
OWNS;1
INVESTIGATED_BY;1
EXHIBITS;2
HAS_NO_EFFECT_ON;1
EXHIBITS_ANTIMICROBIAL_ACTIVITY_ON;7
LESS_EFFECTIVE_ON;2
INHIBITS;1
WRITES;3
NEGOTIATED_BY;1
WORSHIPS;1
NOMINATED_FOR;2
HAS_FACILITY;1
CHOREOGRAPHED_BY;1
PERFORMED_AT;1
HAS_GENRE;1
AWARDED_BY;1
INSTALLED_AT;4
KNOWN_AS;2
IMPLEMENTED_IN;6
HAS_POPULATION;1
JOINED;1
SHOWCASES;1
GUARDED_BY;1
MONITORS;1
SEQUEL_OF;1
HAS_NET_WORTH;1
INVOLVES;1
PROMISES;1
EXPLOITS;1
PARASITIZES;1
ACTIVE_DURING;1
CONFINED_TO;1
LEADS;1
DIRECTS;1
LOCATED_ON;1
ADMINISTERED_AS;1
BRANCH_OF;3
HAS;1
INVENTED_BY;1
EMPLOYS;1
ENROLLS;1
ENCODES;3
BINDS_TO;6
RECORDED_IN;4
HAS_EDITION;1
ELECTED_IN;1
LOCATED_NEAR;1
GRADUATED_FROM;1
EMPLOYED_TECHNIQUE;4
MET_IN;1
SUCCESSION;1
RULED_BY;2
DEDICATED_BY;1
APPOINTED_BY;1
FUNDED_BY;1
CO_AUTHOR_OF;1
EMPLOYED_AT;1
EDITED_BY;1
DOCUMENTS;1
SUCCEEDED_BY;1
COMMANDS;2
NAMED_BY;2
OPPOSES;1
HAS_MEMBER;8
RETIRED_ON;1
LICENSED_BY;2
DELIVERED_TO;1
OFFERED_PROGRAM;2
RELEGATED_TO;1
USES_MATERIAL;1
HOSTS_EVENT;1
HAS_CLIMATE;1
