Entertainer;1
Racehorse;2
Academic;1
EducationalMethod;1
Law;1
Producer;4
Protein;5
Gene;5
Star;1
Synagogue;1
ArtGallery;1
Zone;1
Philatelist;1
Artifact;1
Lyricist;1
Program;3
Computer;1
Goldsmith;1
Jeweller;1
Pewter-worker;1
Inhibitor;1
Disease;1
MusicPublishingGroup;1
Treaty;1
Tunnel;3
Fjord;1
TunnelNetwork;1
CricketTeam;6
TelevisionPersonality;1
Watercourse;1
Statue;3
People;2
Deity;1
TennisPlayer;3
Nunnery;1
Count;1
Committee;5
League;1
PoliceOfficer;2
Physiologist;1
GraphicArtist;1
StageDesigner;1
ArtTheoretician;1
TradeRoute;1
VideoGame;2
ReleaseDate;3
NetWorth;1
Fraud;1
Scheme;1
Infrastructure;1
Insect;1
Ecologist;1
Plate;1
RailwayDivision;2
RailwayZone;2
Nerve;3
ConcentrationCamp;2
Adhesive;1
Student;1
Edition;1
Podcast;2
Technique;2
AerospaceEngineer;1
Queen;2
Kingdom;1
God;1
TransportHub;1
Festival;1
Canton;1
BusinessEducator;1
Wingspan;1
Poem;1
Timeline;1
LaborOrganization;1
HistoricalPeriod;1
Episode;1
RailwayLine;1
ToxicAgent;1
Alga;1
SynthesisMethod;1
Protest;1
Virtue;2
LegalTerm;1
Concept;1
LocalGovernmentArea;2
MusicAward;1
Philanthropist;1
Train;7
Climate;1
VotingSystem;1
Businesswoman;1
Hurler;1
Parent;1
GivenName;1
Zoo;1
Chef;1
Filmmaker;1
MusicGenre;1
AmericanFootballPlayer;1
